Year,Quarter,Month,Day,Sum of customer_id,Sum of delivery_partner_id,delivery_status,Year,Quarter,Month,Day,Sum of order_id,Sum of order_total,payment_method,Year,Quarter,Month,Day,Sum of store_id
2023,Qtr 1,March,31,60049160,5718,On Time,2023,Qtr 1,March,31,4098488449,340.36,Card,2023,Qtr 1,March,31,6824
2023,Qtr 1,March,31,80761521,70928,On Time,2023,Qtr 1,March,31,3325049330,2830.19,Cash,2023,Qtr 1,March,31,2665
2023,Qtr 1,March,31,57537308,7068,On Time,2023,Qtr 1,March,31,3680678403,3346.47,UPI,2023,Qtr 1,March,31,7343
2023,Qtr 1,March,31,76970363,56660,On Time,2023,Qtr 1,March,31,1407304162,46.62,Wallet,2023,Qtr 1,March,31,3909
2023,Qtr 1,March,31,20611438,44422,Slightly Delayed,2023,Qtr 1,March,31,14910864911,2634.67,Card,2023,Qtr 1,March,31,11148
2023,Qtr 1,March,31,64017365,77476,Slightly Delayed,2023,Qtr 1,March,31,3429728472,4138.27,Cash,2023,Qtr 1,March,31,2104
2023,Qtr 2,April,1,60698094,35435,On Time,2023,Qtr 2,April,1,637944734,4026.32,Card,2023,Qtr 2,April,1,7170
2023,Qtr 2,April,1,90038364,97197,On Time,2023,Qtr 2,April,1,5982829268,2923.98,Cash,2023,Qtr 2,April,1,6399
2023,Qtr 2,April,1,149265494,113210,On Time,2023,Qtr 2,April,1,9259472946,1729.16,UPI,2023,Qtr 2,April,1,13669
2023,Qtr 2,April,1,78841932,89407,Slightly Delayed,2023,Qtr 2,April,1,5735156904,3724.91,Card,2023,Qtr 2,April,1,9020
2023,Qtr 2,April,1,41494517,91888,Slightly Delayed,2023,Qtr 2,April,1,8100817128,369.98,Wallet,2023,Qtr 2,April,1,43
2023,Qtr 2,April,2,119690772,74483,On Time,2023,Qtr 2,April,2,10274966478,4492.41,Card,2023,Qtr 2,April,2,9357
2023,Qtr 2,April,2,64366552,117398,On Time,2023,Qtr 2,April,2,2713585045,4166.52,Cash,2023,Qtr 2,April,2,15741
2023,Qtr 2,April,2,24323106,19589,On Time,2023,Qtr 2,April,2,4910060567,3151.21,UPI,2023,Qtr 2,April,2,9462
2023,Qtr 2,April,2,53559567,187921,On Time,2023,Qtr 2,April,2,6698988600,6344.82,Wallet,2023,Qtr 2,April,2,10209
2023,Qtr 2,April,2,38969732,71248,Slightly Delayed,2023,Qtr 2,April,2,9277710098,1807.12,Cash,2023,Qtr 2,April,2,4843
2023,Qtr 2,April,2,57340963,20817,Slightly Delayed,2023,Qtr 2,April,2,9787535949,1488.91,UPI,2023,Qtr 2,April,2,1249
2023,Qtr 2,April,3,41972994,13120,On Time,2023,Qtr 2,April,3,4989511905,2654.71,Card,2023,Qtr 2,April,3,3078
2023,Qtr 2,April,3,92778360,97775,On Time,2023,Qtr 2,April,3,7187898452,3673.24,Cash,2023,Qtr 2,April,3,8622
2023,Qtr 2,April,3,87251489,22316,Significantly Delayed,2023,Qtr 2,April,3,4796733514,2436.11,Card,2023,Qtr 2,April,3,7680
2023,Qtr 2,April,3,9423628,45994,Significantly Delayed,2023,Qtr 2,April,3,4351744653,3342.15,UPI,2023,Qtr 2,April,3,6150
2023,Qtr 2,April,3,2414265,16318,Slightly Delayed,2023,Qtr 2,April,3,9409585531,3092.14,Wallet,2023,Qtr 2,April,3,8153
2023,Qtr 2,April,4,200468273,178332,On Time,2023,Qtr 2,April,4,15762588640,7206.93,Cash,2023,Qtr 2,April,4,15833
2023,Qtr 2,April,4,38902193,462,On Time,2023,Qtr 2,April,4,7079324691,1955.04,UPI,2023,Qtr 2,April,4,7275
2023,Qtr 2,April,4,66768157,53977,On Time,2023,Qtr 2,April,4,5375387413,1934.8,Wallet,2023,Qtr 2,April,4,592
2023,Qtr 2,April,4,95018817,7809,Slightly Delayed,2023,Qtr 2,April,4,8094117960,1473.88,Cash,2023,Qtr 2,April,4,7897
2023,Qtr 2,April,4,58942207,27028,Slightly Delayed,2023,Qtr 2,April,4,6932356214,4091.52,Wallet,2023,Qtr 2,April,4,1053
2023,Qtr 2,April,5,949062,59760,On Time,2023,Qtr 2,April,5,8284240513,3558.14,Card,2023,Qtr 2,April,5,1107
2023,Qtr 2,April,5,61269304,98159,On Time,2023,Qtr 2,April,5,10651462395,7823.28,Cash,2023,Qtr 2,April,5,12379
2023,Qtr 2,April,5,8791577,70015,On Time,2023,Qtr 2,April,5,7089292009,1425.76,UPI,2023,Qtr 2,April,5,5111
2023,Qtr 2,April,5,116979483,169695,On Time,2023,Qtr 2,April,5,26695099322,7505.94,Wallet,2023,Qtr 2,April,5,17196
2023,Qtr 2,April,5,5716817,60702,Slightly Delayed,2023,Qtr 2,April,5,488314125,2359.91,UPI,2023,Qtr 2,April,5,5927
2023,Qtr 2,April,6,61618079,30003,On Time,2023,Qtr 2,April,5,5868093790,443.03,Card,2023,Qtr 2,April,6,6582
2023,Qtr 2,April,6,68939350,12745,On Time,2023,Qtr 2,April,6,3210260715,1793.45,Card,2023,Qtr 2,April,6,8705
2023,Qtr 2,April,6,59679496,90185,On Time,2023,Qtr 2,April,6,13059983431,2109.44,Cash,2023,Qtr 2,April,6,11181
2023,Qtr 2,April,6,188750748,250439,On Time,2023,Qtr 2,April,6,10747671924,5489.13,UPI,2023,Qtr 2,April,6,15644
2023,Qtr 2,April,6,99714944,92293,On Time,2023,Qtr 2,April,6,2458349464,888.12,Wallet,2023,Qtr 2,April,6,3079
2023,Qtr 2,April,6,30447453,72059,Significantly Delayed,2023,Qtr 2,April,6,7148568995,1296.49,UPI,2023,Qtr 2,April,6,7569
2023,Qtr 2,April,6,38671747,36017,Slightly Delayed,2023,Qtr 2,April,6,2550246555,2305.86,UPI,2023,Qtr 2,April,6,2456
2023,Qtr 2,April,6,80862136,95973,Slightly Delayed,2023,Qtr 2,April,6,9240312177,3134.86,Wallet,2023,Qtr 2,April,6,2892
2023,Qtr 2,April,7,48158494,14592,On Time,2023,Qtr 2,April,6,5236061455,2844.94,Cash,2023,Qtr 2,April,7,1802
2023,Qtr 2,April,7,90735031,200998,On Time,2023,Qtr 2,April,7,19407643981,10533.87,Card,2023,Qtr 2,April,7,8161
2023,Qtr 2,April,7,21658322,63249,On Time,2023,Qtr 2,April,7,2711467206,2764.55,Cash,2023,Qtr 2,April,7,9015
2023,Qtr 2,April,7,65304214,149583,On Time,2023,Qtr 2,April,7,17867000096,9080.65,UPI,2023,Qtr 2,April,7,10543
2023,Qtr 2,April,7,93018527,45294,On Time,2023,Qtr 2,April,7,4435636116,552.2,Wallet,2023,Qtr 2,April,7,1997
2023,Qtr 2,April,7,87889031,58075,Slightly Delayed,2023,Qtr 2,April,6,2528398796,2625.78,Wallet,2023,Qtr 2,April,7,3422
2023,Qtr 2,April,7,24621386,6878,Slightly Delayed,2023,Qtr 2,April,7,39405769,941.25,Card,2023,Qtr 2,April,7,9711
2023,Qtr 2,April,7,41146001,11457,Slightly Delayed,2023,Qtr 2,April,7,5750245858,1009.47,Cash,2023,Qtr 2,April,7,8260
2023,Qtr 2,April,8,50105174,68256,On Time,2023,Qtr 2,April,8,1809212176,4454.66,Card,2023,Qtr 2,April,8,133
2023,Qtr 2,April,8,99784559,11530,On Time,2023,Qtr 2,April,8,676278878,2527.14,Cash,2023,Qtr 2,April,8,4673
2023,Qtr 2,April,8,21573815,970,On Time,2023,Qtr 2,April,8,8399666962,3782.86,UPI,2023,Qtr 2,April,8,6255
2023,Qtr 2,April,8,35278126,35596,Significantly Delayed,2023,Qtr 2,April,8,274530126,1841.66,Cash,2023,Qtr 2,April,8,6058
2023,Qtr 2,April,8,9278983,55729,Significantly Delayed,2023,Qtr 2,April,8,2217466286,1217.33,Wallet,2023,Qtr 2,April,8,2962
2023,Qtr 2,April,9,61969874,172297,On Time,2023,Qtr 2,April,9,3132455510,6781.68,Card,2023,Qtr 2,April,9,13996
2023,Qtr 2,April,9,20517871,42017,On Time,2023,Qtr 2,April,9,9680783354,4361.99,Cash,2023,Qtr 2,April,9,7329
2023,Qtr 2,April,9,159258786,47910,On Time,2023,Qtr 2,April,9,10107087747,4595.07,UPI,2023,Qtr 2,April,9,7314
2023,Qtr 2,April,9,301948770,355384,On Time,2023,Qtr 2,April,9,31489522041,12891.35,Wallet,2023,Qtr 2,April,9,27408
2023,Qtr 2,April,10,82383469,189519,On Time,2023,Qtr 2,April,10,19137400232,6320.22,Cash,2023,Qtr 2,April,10,22082
2023,Qtr 2,April,10,68475914,68901,On Time,2023,Qtr 2,April,10,8814047085,972.69,UPI,2023,Qtr 2,April,10,1535
2023,Qtr 2,April,10,31156674,49560,On Time,2023,Qtr 2,April,10,482214790,631.7,Wallet,2023,Qtr 2,April,10,7028
2023,Qtr 2,April,10,16640907,97345,Significantly Delayed,2023,Qtr 2,April,10,8213018419,1078.17,Wallet,2023,Qtr 2,April,10,8241
2023,Qtr 2,April,10,22915611,21923,Slightly Delayed,2023,Qtr 2,April,10,4413239746,811.95,UPI,2023,Qtr 2,April,10,7096
2023,Qtr 2,April,10,87463923,18824,Slightly Delayed,2023,Qtr 2,April,10,8463856241,1364.14,Wallet,2023,Qtr 2,April,10,4495
2023,Qtr 2,April,11,12967305,73623,On Time,2023,Qtr 2,April,11,279851011,3495.33,Card,2023,Qtr 2,April,11,6199
2023,Qtr 2,April,11,120130864,186595,On Time,2023,Qtr 2,April,11,20541957900,12649.93,Cash,2023,Qtr 2,April,11,23322
2023,Qtr 2,April,11,62679120,8626,On Time,2023,Qtr 2,April,11,291439357,2008.62,UPI,2023,Qtr 2,April,11,5860
2023,Qtr 2,April,11,115245769,91596,On Time,2023,Qtr 2,April,11,13142429199,2748.28,Wallet,2023,Qtr 2,April,11,3555
2023,Qtr 2,April,11,29584848,21982,Significantly Delayed,2023,Qtr 2,April,11,844328418,2429.88,Card,2023,Qtr 2,April,11,5669
2023,Qtr 2,April,11,28458746,95505,Slightly Delayed,2023,Qtr 2,April,11,4696656818,2932.44,Card,2023,Qtr 2,April,11,2170
2023,Qtr 2,April,11,50781611,31515,Slightly Delayed,2023,Qtr 2,April,11,9667072962,2753.36,Cash,2023,Qtr 2,April,11,8751
2023,Qtr 2,April,12,42723554,62865,On Time,2023,Qtr 2,April,12,9837170359,1785.4,Card,2023,Qtr 2,April,12,9111
2023,Qtr 2,April,12,80371626,86411,On Time,2023,Qtr 2,April,12,902157975,946.86,Cash,2023,Qtr 2,April,12,4981
2023,Qtr 2,April,12,6184558,46050,On Time,2023,Qtr 2,April,12,2734817654,3676.83,Wallet,2023,Qtr 2,April,12,5492
2023,Qtr 2,April,12,77035814,14963,Significantly Delayed,2023,Qtr 2,April,12,4260996213,1730.33,Wallet,2023,Qtr 2,April,12,9334
2023,Qtr 2,April,12,89998489,2314,Slightly Delayed,2023,Qtr 2,April,12,3525336030,329.79,Cash,2023,Qtr 2,April,12,1348
2023,Qtr 2,April,12,65618148,82054,Slightly Delayed,2023,Qtr 2,April,12,6033660622,1321.76,Wallet,2023,Qtr 2,April,12,6157
2023,Qtr 2,April,13,92058579,109529,On Time,2023,Qtr 2,April,13,7515200208,8061.74,Card,2023,Qtr 2,April,13,8441
2023,Qtr 2,April,13,91135511,260851,On Time,2023,Qtr 2,April,13,18250614465,7518.63,Cash,2023,Qtr 2,April,13,19771
2023,Qtr 2,April,13,1683786,28356,On Time,2023,Qtr 2,April,13,3823949592,2722.55,Wallet,2023,Qtr 2,April,13,3138
2023,Qtr 2,April,13,81605722,52664,Significantly Delayed,2023,Qtr 2,April,13,6999330116,931.61,Card,2023,Qtr 2,April,13,4675
2023,Qtr 2,April,13,67538982,46350,Slightly Delayed,2023,Qtr 2,April,13,6105793582,1897.12,Cash,2023,Qtr 2,April,13,5290
2023,Qtr 2,April,13,67310893,28872,Slightly Delayed,2023,Qtr 2,April,13,2966187610,1334.05,Wallet,2023,Qtr 2,April,13,4186
2023,Qtr 2,April,14,153636779,156101,On Time,2023,Qtr 2,April,14,10534109286,4557.57,Cash,2023,Qtr 2,April,14,8486
2023,Qtr 2,April,14,46569793,69370,On Time,2023,Qtr 2,April,14,10454758131,5073.34,Wallet,2023,Qtr 2,April,14,7029
2023,Qtr 2,April,14,63025744,10170,Slightly Delayed,2023,Qtr 2,April,14,9778782281,477.12,Card,2023,Qtr 2,April,14,6492
2023,Qtr 2,April,14,75244116,12818,Slightly Delayed,2023,Qtr 2,April,14,8608111158,4129.04,Cash,2023,Qtr 2,April,14,1407
2023,Qtr 2,April,14,3730316,2924,Slightly Delayed,2023,Qtr 2,April,14,3186513319,83.18,UPI,2023,Qtr 2,April,14,4043
2023,Qtr 2,April,15,124311386,124509,On Time,2023,Qtr 2,April,15,16574416077,4087.22,UPI,2023,Qtr 2,April,15,20527
2023,Qtr 2,April,15,27336643,180853,On Time,2023,Qtr 2,April,15,12951673067,5748.69,Wallet,2023,Qtr 2,April,15,6868
2023,Qtr 2,April,15,29095552,83597,Slightly Delayed,2023,Qtr 2,April,15,9876119035,4751.01,Card,2023,Qtr 2,April,15,5558
2023,Qtr 2,April,15,65260281,126015,Slightly Delayed,2023,Qtr 2,April,15,11337150375,4442.91,Wallet,2023,Qtr 2,April,15,8092
2023,Qtr 2,April,16,123685322,89960,On Time,2023,Qtr 2,April,16,25848759117,5756.1,Card,2023,Qtr 2,April,16,14953
2023,Qtr 2,April,16,121232149,148931,On Time,2023,Qtr 2,April,16,15493099136,5352.95,Cash,2023,Qtr 2,April,16,11001
2023,Qtr 2,April,16,114106265,94875,On Time,2023,Qtr 2,April,16,8463282975,4619.91,UPI,2023,Qtr 2,April,16,6604
2023,Qtr 2,April,16,25081012,24003,On Time,2023,Qtr 2,April,16,923659418,2700.37,Wallet,2023,Qtr 2,April,16,7835
2023,Qtr 2,April,16,38420886,8691,Significantly Delayed,2023,Qtr 2,April,16,5710643134,634.18,Card,2023,Qtr 2,April,16,443
2023,Qtr 2,April,16,40305293,63639,Slightly Delayed,2023,Qtr 2,April,16,9656230693,936.98,Cash,2023,Qtr 2,April,16,9243
2023,Qtr 2,April,16,106615710,107409,Slightly Delayed,2023,Qtr 2,April,16,6439714763,4965.2,UPI,2023,Qtr 2,April,16,4205
2023,Qtr 2,April,17,11636968,88737,On Time,2023,Qtr 2,April,17,8426805628,1620.7,Card,2023,Qtr 2,April,17,4577
2023,Qtr 2,April,17,13492411,68926,On Time,2023,Qtr 2,April,17,538997323,456.58,Cash,2023,Qtr 2,April,17,7310
2023,Qtr 2,April,17,63360864,1616,On Time,2023,Qtr 2,April,17,2035952734,1906.85,UPI,2023,Qtr 2,April,17,8633
2023,Qtr 2,April,17,179332983,111229,On Time,2023,Qtr 2,April,17,11060648378,7996.86,Wallet,2023,Qtr 2,April,17,14338
2023,Qtr 2,April,17,57833505,47688,Slightly Delayed,2023,Qtr 2,April,17,562428866,896.97,Card,2023,Qtr 2,April,17,5415
2023,Qtr 2,April,17,15808945,32954,Slightly Delayed,2023,Qtr 2,April,17,9144790321,2605.29,Cash,2023,Qtr 2,April,17,4377
2023,Qtr 2,April,17,14458150,84964,Slightly Delayed,2023,Qtr 2,April,17,9710106935,4495.54,UPI,2023,Qtr 2,April,17,388
2023,Qtr 2,April,18,142270385,96891,On Time,2023,Qtr 2,April,18,10166491038,4450.08,Cash,2023,Qtr 2,April,18,9647
2023,Qtr 2,April,18,39976965,48495,On Time,2023,Qtr 2,April,18,9996182478,340.36,UPI,2023,Qtr 2,April,18,2861
2023,Qtr 2,April,19,15661674,66941,On Time,2023,Qtr 2,April,19,9776505630,4167.91,Card,2023,Qtr 2,April,19,4413
2023,Qtr 2,April,19,48284116,78911,On Time,2023,Qtr 2,April,19,4726520098,2873.05,Cash,2023,Qtr 2,April,19,5762
2023,Qtr 2,April,19,161925687,169481,On Time,2023,Qtr 2,April,19,8574013578,2962.59,Wallet,2023,Qtr 2,April,19,14333
2023,Qtr 2,April,19,98307019,69504,Significantly Delayed,2023,Qtr 2,April,19,7913167260,4575.56,Card,2023,Qtr 2,April,19,850
2023,Qtr 2,April,19,28173165,4714,Significantly Delayed,2023,Qtr 2,April,19,4884197611,2037.05,Wallet,2023,Qtr 2,April,19,9213
2023,Qtr 2,April,19,65488134,82696,Slightly Delayed,2023,Qtr 2,April,19,3860678807,1834.92,Card,2023,Qtr 2,April,19,9444
