Sum of damaged_stock,date,Sum of product_id,Sum of stock_received
144,07-09-2024,70883291,243
150,07-10-2023,72203249,274
152,07-10-2024,67420534,260
124,07-11-2023,61259039,214
118,07-12-2023,63799652,224
130,08-01-2024,66542800,265
156,08-02-2024,64726605,272
124,08-03-2024,64290075,229
122,08-04-2023,67067347,281
144,08-04-2024,68158193,263
132,08-05-2023,70447649,284
128,08-05-2024,62264249,213
144,08-06-2023,65446224,237
122,08-06-2024,58258795,227
142,08-07-2023,64508222,251
146,08-07-2024,70217760,243
154,08-08-2023,66328186,242
116,08-08-2024,53083346,227
136,08-09-2023,57439934,227
146,08-09-2024,68227493,277
132,08-10-2023,68222415,275
138,08-10-2024,64985302,250
156,08-11-2023,68696739,262
146,08-12-2023,73036711,258
124,09-01-2024,65317928,287
126,09-02-2024,62412946,261
142,09-03-2024,65262059,220
116,09-04-2023,66908388,268
124,09-04-2024,59252636,238
132,09-05-2023,61577838,227
150,09-05-2024,65280132,269
144,09-06-2023,66885797,268
112,09-06-2024,55805750,219
138,09-07-2023,62280089,245
142,09-07-2024,65818400,253
110,09-08-2023,60665891,249
136,09-08-2024,61810288,211
138,09-09-2023,62195588,237
116,09-09-2024,60577041,249
140,09-10-2023,68029380,238
124,09-10-2024,56436762,225
148,09-11-2023,68276988,279
120,09-12-2023,67268900,269
130,10-01-2024,65082495,245
136,10-02-2024,56391622,221
112,10-03-2024,64588088,279
168,10-04-2023,72151689,252
130,10-04-2024,61465178,217
146,10-05-2023,63482267,257
136,10-05-2024,71497147,285
142,10-06-2023,71812954,308
128,10-06-2024,60096834,210
128,10-07-2023,62350490,227
126,10-07-2024,67750978,237
148,10-08-2023,65051835,250
154,10-08-2024,62625348,251
148,10-09-2023,70521442,237
138,10-09-2024,63334071,229
128,10-10-2023,59419824,222
130,10-10-2024,63104850,251
146,10-11-2023,68422306,266
166,10-12-2023,61409427,243
124,11-01-2024,52520236,185
124,11-02-2024,59894768,252
126,11-03-2024,58573712,195
110,11-04-2023,58322491,239
132,11-04-2024,60282468,222
150,11-05-2023,70329061,275
148,11-05-2024,63712564,218
142,11-06-2023,73523440,287
140,11-06-2024,65474546,282
100,11-07-2023,65904543,287
114,11-07-2024,52373638,207
132,11-08-2023,66860011,232
112,11-08-2024,57180836,230
138,11-09-2023,66173314,264
128,11-09-2024,62404043,264
148,11-10-2023,71949739,278
152,11-10-2024,63670973,207
114,11-11-2023,62549411,262
116,11-12-2023,63423470,263
126,12-01-2024,56339438,249
124,12-02-2024,70679708,298
134,12-03-2024,63654341,256
160,12-04-2023,71957741,288
146,12-04-2024,60805440,238
146,12-05-2023,73493575,258
118,12-05-2024,56545208,229
120,12-06-2023,71106056,271
102,12-06-2024,58950176,251
120,12-07-2023,60063925,223
146,12-07-2024,63801873,252
154,12-08-2023,69076867,237
146,12-08-2024,61959792,233
142,12-09-2023,66519508,229
130,12-09-2024,62961371,252
136,12-10-2023,71346540,292
140,12-10-2024,67797369,280
136,12-11-2023,58676119,196
126,12-12-2023,59408794,221
150,13-01-2024,70539862,262
152,13-02-2024,68894957,250
130,13-03-2024,62666181,251
120,13-04-2023,67757877,275
138,13-04-2024,59896389,230
142,13-05-2023,62404052,224
112,13-05-2024,59203703,269
116,13-06-2023,65849376,249
112,13-06-2024,64397169,273
130,13-07-2023,70615222,275
128,13-07-2024,62076145,251
120,13-08-2023,59404072,251
130,13-08-2024,59110949,217
134,13-09-2023,64097914,208
136,13-09-2024,60032814,258
128,13-10-2023,63223083,228
146,13-10-2024,68425308,247
126,13-11-2023,64927243,238
130,13-12-2023,67841839,272
110,14-01-2024,67132021,273
124,14-02-2024,56777974,185
122,14-03-2024,54317618,227
164,14-04-2023,73236372,288
150,14-04-2024,66531881,238
120,14-05-2023,58891551,236
132,14-05-2024,63010969,260
116,14-06-2023,56679917,221
160,14-06-2024,65069948,228
142,14-07-2023,61450903,199
138,14-07-2024,66504314,255
122,14-08-2023,65050025,247
120,14-08-2024,56511875,246
126,14-09-2023,64487185,225
148,14-09-2024,65819249,234
140,14-10-2023,63887275,226
148,14-10-2024,66423754,260
116,14-11-2023,52383408,216
132,14-12-2023,71289213,243
142,15-01-2024,62492457,220
106,15-02-2024,52998158,199
132,15-03-2024,63066708,255
148,15-04-2023,70834361,255
112,15-04-2024,55108404,216
140,15-05-2023,70374672,245
148,15-05-2024,61567727,246
148,15-06-2023,77787578,320
154,15-06-2024,59869630,198
122,15-07-2023,63710515,265
144,15-07-2024,65645899,247
114,15-08-2023,67329948,263
128,15-08-2024,64798421,252
126,15-09-2023,68502912,274
122,15-09-2024,67110326,301
130,15-10-2023,67723219,260
140,15-10-2024,63278814,229
134,15-11-2023,70154913,264
120,15-12-2023,62508874,225
140,16-01-2024,64274812,232
136,16-02-2024,61331390,224
114,16-03-2024,63601173,255
110,16-04-2023,63923952,263
128,16-04-2024,62199262,255
110,16-05-2023,60880305,253
146,16-05-2024,65384446,252
124,16-06-2023,71280641,268
146,16-06-2024,66316995,281
138,16-07-2023,57660115,208
128,16-07-2024,64063684,258
124,16-08-2023,64509150,253
146,16-08-2024,64835842,243
132,16-09-2023,70891619,273
132,16-09-2024,59031435,232
156,16-10-2023,71888337,231
148,16-10-2024,60941605,221
148,16-11-2023,61357301,234
138,16-12-2023,70810178,275
144,17-01-2024,68975286,271
142,17-02-2024,63935966,258
118,17-03-2023,61397380,220
140,17-03-2024,66085630,269
138,17-04-2023,66222174,261
130,17-04-2024,61018993,241
128,17-05-2023,65391413,249
128,17-05-2024,66443635,248
148,17-06-2023,68777810,262
142,17-06-2024,56151234,188
164,17-07-2023,73725890,248
120,17-07-2024,55779603,227
116,17-08-2023,63535864,263
136,17-08-2024,64603907,260
132,17-09-2023,66982464,233
148,17-09-2024,67946238,251
130,17-10-2023,59965991,230
118,17-10-2024,61502979,253
148,17-11-2023,72978366,267
136,17-12-2023,64667400,245
122,18-01-2024,69503381,292
124,18-02-2024,58108722,241
124,18-03-2023,64607949,253
140,18-03-2024,65996791,228
140,18-04-2023,69623876,242
126,18-04-2024,58627538,203
122,18-05-2023,69146533,289
124,18-05-2024,56548067,220
136,18-06-2023,64469365,259
112,18-06-2024,59877547,239
140,18-07-2023,62651559,268
122,18-07-2024,57863757,238
138,18-08-2023,60451618,235
122,18-08-2024,55042530,251
146,18-09-2023,65978473,254
146,18-09-2024,63497370,240
132,18-10-2023,63080580,234
146,18-10-2024,63138390,230
124,18-11-2023,61943779,288
116,18-12-2023,55981256,221
154,19-01-2024,69493187,233
142,19-02-2024,68678940,297
134,19-03-2023,63505777,263
156,19-03-2024,68469915,246
112,19-04-2023,58107493,236
142,19-04-2024,68813047,263
164,19-05-2023,70179578,250
146,19-05-2024,66108898,214
110,19-06-2023,64687448,243
144,19-06-2024,66352814,265
110,19-07-2023,59172110,275
112,19-07-2024,59266723,247
140,19-08-2023,69248821,278
106,19-08-2024,65220268,273
112,19-09-2023,59364790,226
142,19-09-2024,58117253,230
126,19-10-2023,62658090,232
122,19-10-2024,63823549,266
140,19-11-2023,75433393,260
136,19-12-2023,68363523,266
138,20-01-2024,55928836,254
130,20-02-2024,64053014,241
136,20-03-2023,64403644,229
136,20-03-2024,65936898,232
126,20-04-2023,69099105,284
130,20-04-2024,57397289,224
122,20-05-2023,69199684,261
158,20-05-2024,74203838,317
124,20-06-2023,63631654,219
120,20-06-2024,58048860,221
128,20-07-2023,67745419,245
112,20-07-2024,48839513,187
162,20-08-2023,69664994,222
156,20-08-2024,68087732,264
128,20-09-2023,60035124,225
144,20-09-2024,68218922,279
148,20-10-2023,65176923,234
122,20-10-2024,66223560,253
146,20-11-2023,67878797,264
138,20-12-2023,66930033,243
104,21-01-2024,54189989,232
102,21-02-2024,54643325,234
152,21-03-2023,61605517,199
142,21-03-2024,62107588,217
136,21-04-2023,67518384,253
126,21-04-2024,61468935,252
128,21-05-2023,57792565,220
132,21-05-2024,66264540,255
136,21-06-2023,65730212,231
152,21-06-2024,65848801,250
136,21-07-2023,65719770,239
152,21-07-2024,63826821,200
122,21-08-2023,69069486,287
124,21-08-2024,67657689,252
124,21-09-2023,61153737,221
118,21-09-2024,68251480,291
112,21-10-2023,54218944,187
124,21-10-2024,68675990,272
136,21-11-2023,63742435,233
126,21-12-2023,71257302,255
140,22-01-2024,64978598,253
160,22-02-2024,65232158,256
126,22-03-2023,73562974,253
148,22-03-2024,65987611,240
108,22-04-2023,55005222,210
114,22-04-2024,58705783,246
144,22-05-2023,64365501,246
124,22-05-2024,56510306,247
108,22-06-2023,54075016,204
138,22-06-2024,62862774,233
142,22-07-2023,64777301,223
130,22-07-2024,64539495,256
134,22-08-2023,67725176,235
106,22-08-2024,64981596,284
138,22-09-2023,66240404,226
124,22-09-2024,58091021,201
140,22-10-2023,57038265,214
152,22-10-2024,66738834,233
144,22-11-2023,68360253,241
174,22-12-2023,76000717,265
122,23-01-2024,65594827,239
130,23-02-2024,61395264,222
162,23-03-2023,70283409,219
138,23-03-2024,58949855,228
136,23-04-2023,62792401,221
126,23-04-2024,61016831,260
136,23-05-2023,75851980,242
140,23-05-2024,62030761,193
130,23-06-2023,66015788,270
142,23-06-2024,67196152,273
134,23-07-2023,63304131,247
148,23-07-2024,67027099,224
152,23-08-2023,73292924,293
124,23-08-2024,63799614,235
118,23-09-2023,66701455,260
152,23-09-2024,65730695,222
124,23-10-2023,65157624,241
150,23-10-2024,66697461,230
144,23-11-2023,66827971,218
134,23-12-2023,63245425,243
138,24-01-2024,62251896,260
138,24-02-2024,63429799,205
172,24-03-2023,76465702,257
114,24-03-2024,55561825,215
144,24-04-2023,61951860,220
154,24-04-2024,64902176,226
148,24-05-2023,73923280,241
134,24-05-2024,63196608,214
146,24-06-2023,70504717,225
132,24-06-2024,59452574,220
150,24-07-2023,68606562,230
154,24-07-2024,62129085,209
128,24-08-2023,63348273,229
114,24-08-2024,58390822,219
104,24-09-2023,61738499,233
120,24-09-2024,65862541,283
122,24-10-2023,64930506,243
132,24-10-2024,62730885,211
132,24-11-2023,73239087,298
134,24-12-2023,66612318,268
126,25-01-2024,66046861,263
136,25-02-2024,60443471,216
134,25-03-2023,57180880,220
114,25-03-2024,57676107,233
124,25-04-2023,68259307,263
136,25-04-2024,58356607,233
114,25-05-2023,66106787,261
128,25-05-2024,57477467,218
132,25-06-2023,63965609,251
148,25-06-2024,59303066,222
142,25-07-2023,67306786,228
136,25-07-2024,59938875,209
152,25-08-2023,65716582,238
152,25-08-2024,72582114,239
148,25-09-2023,67002200,221
150,25-09-2024,68707851,219
106,25-10-2023,59256533,252
142,25-10-2024,63089361,246
136,25-11-2023,59735183,207
150,25-12-2023,69308698,212
100,26-01-2024,62988200,272
120,26-02-2024,58845651,230
112,26-03-2023,64078226,260
148,26-03-2024,64632783,232
134,26-04-2023,68982380,274
142,26-04-2024,61419100,243
126,26-05-2023,63159937,240
154,26-05-2024,63005352,245
120,26-06-2023,55874349,216
142,26-06-2024,56125533,222
122,26-07-2023,63482295,228
134,26-07-2024,58417877,203
150,26-08-2023,74489984,270
138,26-08-2024,61968350,236
114,26-09-2023,67058976,280
162,26-09-2024,63157769,235
144,26-10-2023,71382896,267
124,26-10-2024,53707444,221
124,26-11-2023,59263227,217
132,26-12-2023,67282429,255
140,27-01-2024,69192247,261
142,27-02-2024,62929965,242
144,27-03-2023,65197330,239
128,27-03-2024,61242085,256
108,27-04-2023,55215188,229
120,27-04-2024,53306786,185
110,27-05-2023,61509695,253
152,27-05-2024,63941047,253
138,27-06-2023,67506941,234
140,27-06-2024,65033880,246
138,27-07-2023,68844101,259
126,27-07-2024,58716084,239
132,27-08-2023,60727228,236
134,27-08-2024,57071413,191
136,27-09-2023,70801495,290
98,27-09-2024,56739465,256
134,27-10-2023,67098876,271
112,27-10-2024,57124830,233
126,27-11-2023,62466288,214
132,27-12-2023,71091082,291
140,28-01-2024,71494526,263
130,28-02-2024,59755049,235
136,28-03-2023,65204618,220
140,28-03-2024,61408284,261
138,28-04-2023,70009567,248
140,28-04-2024,61997250,254
140,28-05-2023,70967335,283
112,28-05-2024,60135183,231
136,28-06-2023,70081200,295
152,28-06-2024,67803745,263
106,28-07-2023,59337529,247
138,28-07-2024,58652538,202
154,28-08-2023,65838132,281
126,28-08-2024,57286498,228
162,28-09-2023,69905613,217
124,28-09-2024,56974371,214
148,28-10-2023,67075388,244
104,28-10-2024,63992760,244
144,28-11-2023,64342316,244
144,28-12-2023,66794792,252
140,29-01-2024,61506094,242
156,29-02-2024,61366262,236
126,29-03-2023,62469346,195
136,29-03-2024,66315444,240
124,29-04-2023,69668290,303
146,29-04-2024,68368205,278
126,29-05-2023,59267128,229
134,29-05-2024,61892402,242
118,29-06-2023,57160917,236
124,29-06-2024,60402402,271
124,29-07-2023,61636045,238
144,29-07-2024,69475629,264
148,29-08-2023,70709335,294
124,29-08-2024,60463367,259
110,29-09-2023,64623973,243
146,29-09-2024,64933224,245
114,29-10-2023,61872452,292
144,29-10-2024,67423514,229
144,29-11-2023,68436387,273
138,29-12-2023,63453150,250
136,30-01-2024,64069597,227
134,30-03-2023,67578403,292
126,30-03-2024,56689123,232
106,30-04-2023,62143284,246
178,30-04-2024,74195233,242
142,30-05-2023,68911602,265
138,30-05-2024,60238168,202
118,30-06-2023,67029861,256
118,30-06-2024,64707774,284
154,30-07-2023,68972484,219
130,30-07-2024,64000080,244
122,30-08-2023,64313230,280
144,30-08-2024,68753740,272
152,30-09-2023,73031414,245
126,30-09-2024,55096680,233
128,30-10-2023,76137210,274
140,30-10-2024,63795557,176
128,30-11-2023,63876041,252
134,30-12-2023,68441809,232
164,31-01-2024,66185010,254
142,31-03-2023,66517341,250
144,31-03-2024,73781163,299
150,31-05-2023,67822294,234
136,31-05-2024,60385437,231
114,31-07-2023,63872614,250
126,31-07-2024,62624130,271
150,31-08-2023,73863159,236
122,31-08-2024,59030626,243
124,31-10-2023,59788922,209
118,31-10-2024,59949421,253
152,31-12-2023,77159699,244
