Sum of customer_id,Year,Quarter,Month,Day,feedback_category,Sum of feedback_id,feedback_text,Sum of order_id,Sum of rating,sentiment
27620326,2023,Qtr 1,March,19,Customer Service,6317302,The product met my expectations.,8095547865,3,Neutral
68341636,2023,Qtr 1,March,19,Customer Service,7622162,Very happy with the service!,6284066457,4,Positive
8351747,2023,Qtr 1,March,19,Delivery,8603661,Will definitely order again.,6722955128,4,Positive
11389698,2023,Qtr 1,March,19,Product Quality,7612535,"Average experience, could improve.",785895477,4,Neutral
13604883,2023,Qtr 1,March,19,Product Quality,165649,Items were in perfect condition.,3270559373,4,Positive
24137201,2023,Qtr 1,March,19,Product Quality,6865531,The packaging was poor.,4588148640,1,Negative
60698094,2023,Qtr 1,March,20,App Experience,5226763,"Average experience, could improve.",8423458672,4,Neutral
191616,2023,Qtr 1,March,20,App Experience,4313698,Very happy with the service!,8895262247,4,Positive
65121696,2023,Qtr 1,March,20,Customer Service,3646915,Customer service was very helpful.,3011683470,4,Positive
42366724,2023,Qtr 1,March,20,Customer Service,390761,The product met my expectations.,4188317986,4,Neutral
36428139,2023,Qtr 1,March,20,Delivery,6824174,Will definitely order again.,3678525130,5,Positive
73392739,2023,Qtr 1,March,21,App Experience,2442580,I had a bad experience.,7532381028,1,Negative
90649019,2023,Qtr 1,March,21,App Experience,8810490,Will definitely order again.,1491360686,5,Positive
61877649,2023,Qtr 1,March,21,Customer Service,7057507,I had a bad experience.,3914760118,2,Negative
13760839,2023,Qtr 1,March,21,Customer Service,6079538,"Nothing to complain about, but nothing exceptional.",9243090480,3,Neutral
119861607,2023,Qtr 1,March,21,Customer Service,15972811,The product met my expectations.,11172783977,6,Neutral
93198324,2023,Qtr 1,March,21,Delivery,6955323,"Delivery was fine, but the product could be better.",1085912198,3,Neutral
52337289,2023,Qtr 1,March,21,Delivery,1459705,Highly recommended!,8013026217,4,Positive
81200164,2023,Qtr 1,March,21,Delivery,3009937,"It was okay, nothing special.",7919724613,4,Neutral
18465047,2023,Qtr 1,March,21,Product Quality,5320451,"Average experience, could improve.",3018272105,3,Neutral
84824280,2023,Qtr 1,March,21,Product Quality,9592296,Customer service was not helpful.,7169557514,2,Negative
24988999,2023,Qtr 1,March,21,Product Quality,5279688,Highly recommended!,1884811437,4,Positive
28603182,2023,Qtr 1,March,21,Product Quality,958580,The product met my expectations.,6313785973,4,Neutral
46876240,2023,Qtr 1,March,22,Customer Service,7161886,"It was okay, nothing special.",6098277214,3,Neutral
93563435,2023,Qtr 1,March,22,Delivery,5564277,Highly recommended!,7773287963,4,Positive
31940833,2023,Qtr 1,March,22,Delivery,9689536,The product met my expectations.,1606381345,4,Neutral
73428596,2023,Qtr 1,March,22,Product Quality,3791212,"Average experience, could improve.",5777824005,4,Neutral
12851610,2023,Qtr 1,March,22,Product Quality,9858044,Customer service was not helpful.,9943206333,3,Negative
35690581,2023,Qtr 1,March,22,Product Quality,8716014,Will definitely order again.,7168596454,4,Positive
60062501,2023,Qtr 1,March,23,Delivery,5703770,Items were missing from my order.,1833854180,3,Negative
4862761,2023,Qtr 1,March,23,Delivery,4413461,Taste was not as expected.,7213146086,3,Negative
72495274,2023,Qtr 1,March,23,Delivery,4267888,The packaging was poor.,8997788831,1,Negative
69908484,2023,Qtr 1,March,23,Product Quality,3829031,"Excellent quality, will buy again!",1668737869,5,Positive
94033330,2023,Qtr 1,March,23,Product Quality,8080342,The order was incorrect.,5153395650,3,Negative
35358395,2023,Qtr 1,March,24,Delivery,5267320,Delivery was late and I was unhappy.,599772156,2,Negative
89523804,2023,Qtr 1,March,24,Delivery,5640225,"Excellent quality, will buy again!",9663384689,5,Positive
21701991,2023,Qtr 1,March,24,Delivery,5220732,"Overall good experience, thank you!",2483565595,5,Positive
20238921,2023,Qtr 1,March,24,Product Quality,1066171,Will definitely order again.,283675535,4,Positive
79916464,2023,Qtr 1,March,25,App Experience,2380071,Very happy with the service!,7232049635,4,Positive
43295656,2023,Qtr 1,March,25,Customer Service,4186992,"Delivery was fine, but the product could be better.",1895143216,3,Neutral
24621386,2023,Qtr 1,March,25,Customer Service,32434,Good selection of products.,9430475133,4,Positive
11254582,2023,Qtr 1,March,25,Customer Service,3930672,Very disappointed with the quality.,1900542981,1,Negative
63451391,2023,Qtr 1,March,25,Delivery,7331564,Good selection of products.,1483786406,4,Positive
35826539,2023,Qtr 1,March,25,Delivery,7060639,Taste was not as expected.,9894863460,3,Negative
169811630,2023,Qtr 1,March,25,Delivery,7484394,The product met my expectations.,8639066443,7,Neutral
34095555,2023,Qtr 1,March,25,Delivery,835953,Very disappointed with the quality.,5944464513,3,Negative
67465084,2023,Qtr 1,March,25,Product Quality,8939811,The packaging was poor.,7812276711,2,Negative
50953418,2023,Qtr 1,March,25,Product Quality,8249278,Will definitely order again.,4249535395,5,Positive
16543242,2023,Qtr 1,March,26,App Experience,8375675,Taste was not as expected.,2442453181,1,Negative
29941225,2023,Qtr 1,March,26,Customer Service,8741505,Good selection of products.,2330986566,5,Positive
57291761,2023,Qtr 1,March,26,Customer Service,7705557,The order was incorrect.,3475260976,1,Negative
150950827,2023,Qtr 1,March,26,Delivery,12377796,Items were in perfect condition.,13866491759,8,Positive
8228843,2023,Qtr 1,March,26,Product Quality,2093186,Delivery was late and I was unhappy.,485687952,3,Negative
90246977,2023,Qtr 1,March,26,Product Quality,3707264,"Nothing to complain about, but nothing exceptional.",8795242622,3,Neutral
2457734,2023,Qtr 1,March,26,Product Quality,2097262,"Overall good experience, thank you!",2318969828,4,Positive
19682060,2023,Qtr 1,March,26,Product Quality,7060904,Will definitely order again.,2193572534,4,Positive
5763963,2023,Qtr 1,March,27,App Experience,1940763,Customer service was not helpful.,6197760573,3,Negative
21409946,2023,Qtr 1,March,27,App Experience,1313671,Good selection of products.,997535715,5,Positive
45028365,2023,Qtr 1,March,27,App Experience,6684472,Items were missing from my order.,6083333956,1,Negative
3410758,2023,Qtr 1,March,27,Customer Service,232145,"It was okay, nothing special.",5190422833,3,Neutral
52613657,2023,Qtr 1,March,27,Product Quality,4219382,Great prices and fast delivery!,4816980820,4,Positive
95736310,2023,Qtr 1,March,27,Product Quality,2401835,Very disappointed with the quality.,3174938939,3,Negative
63360864,2023,Qtr 1,March,28,App Experience,1420079,"Nothing to complain about, but nothing exceptional.",2840526544,4,Neutral
75892474,2023,Qtr 1,March,28,Delivery,327126,Good selection of products.,5351526726,5,Positive
5540556,2023,Qtr 1,March,28,Delivery,9450924,"Nothing to complain about, but nothing exceptional.",7040151151,3,Neutral
94529626,2023,Qtr 1,March,28,Delivery,7517891,"Overall good experience, thank you!",121874867,5,Positive
44928499,2023,Qtr 1,March,28,Delivery,6158304,The product met my expectations.,6737025662,4,Neutral
17106161,2023,Qtr 1,March,28,Product Quality,5886463,"Excellent quality, will buy again!",4772519706,4,Positive
63948546,2023,Qtr 1,March,28,Product Quality,7948957,Product was damaged during delivery.,8209000496,3,Negative
94137242,2023,Qtr 1,March,28,Product Quality,6861653,The product met my expectations.,9927474026,4,Neutral
11047835,2023,Qtr 1,March,28,Product Quality,23845,Will definitely order again.,5465833352,4,Positive
36998375,2023,Qtr 1,March,29,App Experience,9549702,Items were missing from my order.,7936387697,1,Negative
2558646,2023,Qtr 1,March,29,App Experience,8863782,"Nothing to complain about, but nothing exceptional.",2753579193,4,Neutral
4597433,2023,Qtr 1,March,29,Customer Service,5596356,"Average experience, could improve.",955844536,4,Neutral
65488134,2023,Qtr 1,March,29,Customer Service,4616277,Highly recommended!,5331800057,5,Positive
19581959,2023,Qtr 1,March,29,Customer Service,4771442,I had a bad experience.,1602291242,3,Negative
63238941,2023,Qtr 1,March,29,Delivery,5457177,"It was okay, nothing special.",8549503132,3,Neutral
79764458,2023,Qtr 1,March,29,Product Quality,6907960,Highly recommended!,1690800946,5,Positive
75566105,2023,Qtr 1,March,29,Product Quality,7095114,"It was okay, nothing special.",7471416647,4,Neutral
45804389,2023,Qtr 1,March,29,Product Quality,5898681,Not worth the price I paid.,4344108631,3,Negative
90621147,2023,Qtr 1,March,29,Product Quality,9536517,The product met my expectations.,1741224538,4,Neutral
88684966,2023,Qtr 1,March,30,App Experience,8802816,"Average experience, could improve.",7596333614,3,Neutral
70976153,2023,Qtr 1,March,30,App Experience,2807274,The packaging was poor.,3264409553,3,Negative
96461062,2023,Qtr 1,March,30,Customer Service,170656,Delivery was late and I was unhappy.,5653623743,2,Negative
57331847,2023,Qtr 1,March,30,Customer Service,2222935,"Excellent quality, will buy again!",156346853,5,Positive
57526322,2023,Qtr 1,March,30,Delivery,6974458,Very happy with the service!,6247819401,4,Positive
48511124,2023,Qtr 1,March,30,Product Quality,4776111,"Average experience, could improve.",2465711187,4,Neutral
45323391,2023,Qtr 1,March,30,Product Quality,1657911,"It was okay, nothing special.",9729709418,3,Neutral
10562528,2023,Qtr 1,March,31,App Experience,6378864,Not worth the price I paid.,7733310993,3,Negative
57537308,2023,Qtr 1,March,31,Customer Service,4295130,"Delivery was fine, but the product could be better.",3680678403,3,Neutral
70098070,2023,Qtr 1,March,31,Delivery,11179897,"Average experience, could improve.",11276042367,7,Neutral
64017365,2023,Qtr 1,March,31,Delivery,2332501,"Delivery was fine, but the product could be better.",3429728472,3,Neutral
80761521,2023,Qtr 1,March,31,Delivery,9880946,"Nothing to complain about, but nothing exceptional.",3325049330,4,Neutral
76970363,2023,Qtr 1,March,31,Product Quality,8038970,Highly recommended!,1407304162,5,Positive
90038364,2023,Qtr 2,April,1,App Experience,9843759,Items were missing from my order.,5982829268,2,Negative
41494517,2023,Qtr 2,April,1,App Experience,1340060,"Overall good experience, thank you!",8100817128,4,Positive
57662767,2023,Qtr 2,April,1,Customer Service,534626,Great prices and fast delivery!,4495916529,5,Positive
60698094,2023,Qtr 2,April,1,Customer Service,871537,"It was okay, nothing special.",637944734,4,Neutral
78841932,2023,Qtr 2,April,1,Customer Service,6583382,Taste was not as expected.,5735156904,3,Negative
91602727,2023,Qtr 2,April,1,Product Quality,2334318,The order was incorrect.,4763556417,2,Negative
57340963,2023,Qtr 2,April,2,App Experience,4809263,Good selection of products.,9787535949,4,Positive
5277675,2023,Qtr 2,April,2,App Experience,7041781,"Overall good experience, thank you!",6696750742,5,Positive
77811864,2023,Qtr 2,April,2,Customer Service,7907169,Great prices and fast delivery!,9493456526,5,Positive
51670882,2023,Qtr 2,April,2,Delivery,6226960,Items were missing from my order.,1824646473,1,Negative
48281892,2023,Qtr 2,April,2,Delivery,342939,"Nothing to complain about, but nothing exceptional.",2237858,3,Neutral
24323106,2023,Qtr 2,April,2,Delivery,5345716,Will definitely order again.,4910060567,5,Positive
38969732,2023,Qtr 2,April,2,Product Quality,9429214,Customer service was very helpful.,9277710098,5,Positive
12695670,2023,Qtr 2,April,2,Product Quality,4035300,The order was incorrect.,888938572,3,Negative
41878908,2023,Qtr 2,April,2,Product Quality,1901103,Very fresh and well-packaged.,781509952,4,Positive
2414265,2023,Qtr 2,April,3,App Experience,3878247,The order was incorrect.,9409585531,1,Negative
83039559,2023,Qtr 2,April,3,App Experience,9621239,Very happy with the service!,1195560119,4,Positive
9423628,2023,Qtr 2,April,3,Customer Service,2540547,Customer service was not helpful.,4351744653,3,Negative
87251489,2023,Qtr 2,April,3,Delivery,4830097,"Average experience, could improve.",4796733514,3,Neutral
9738801,2023,Qtr 2,April,3,Delivery,9734476,Items were in perfect condition.,5992338333,5,Positive
41972994,2023,Qtr 2,April,3,Delivery,2088066,Not worth the price I paid.,4989511905,2,Negative
18791381,2023,Qtr 2,April,4,App Experience,2057194,Items were in perfect condition.,7717156533,4,Positive
66768157,2023,Qtr 2,April,4,App Experience,2044654,Taste was not as expected.,5375387413,1,Negative
91228580,2023,Qtr 2,April,4,Customer Service,1814406,Highly recommended!,1309618968,5,Positive
58942207,2023,Qtr 2,April,4,Customer Service,1362938,Product was damaged during delivery.,6932356214,3,Negative
90448312,2023,Qtr 2,April,4,Customer Service,4587901,The packaging was poor.,6735813139,2,Negative
95018817,2023,Qtr 2,April,4,Delivery,2249584,Very happy with the service!,8094117960,4,Positive
38902193,2023,Qtr 2,April,4,Product Quality,8292239,Items were in perfect condition.,7079324691,4,Positive
45868300,2023,Qtr 2,April,5,App Experience,3093140,"Average experience, could improve.",8559748526,4,Neutral
8791577,2023,Qtr 2,April,5,Customer Service,4745815,The product met my expectations.,7089292009,3,Neutral
5716817,2023,Qtr 2,April,5,Delivery,528097,Good selection of products.,488314125,4,Positive
45700473,2023,Qtr 2,April,5,Delivery,5904785,I had a bad experience.,6595771960,2,Negative
21677923,2023,Qtr 2,April,5,Delivery,1943449,Not worth the price I paid.,8314342490,2,Negative
949062,2023,Qtr 2,April,5,Delivery,5872235,The order was incorrect.,8284240513,1,Negative
15568831,2023,Qtr 2,April,5,Product Quality,4292010,"Average experience, could improve.",4055690435,4,Neutral
49433260,2023,Qtr 2,April,5,Product Quality,3026460,Product was damaged during delivery.,9821008306,2,Negative
68939350,2023,Qtr 2,April,6,App Experience,9333668,"Delivery was fine, but the product could be better.",3210260715,3,Neutral
61618079,2023,Qtr 2,April,6,App Experience,6037486,Great prices and fast delivery!,5868093790,4,Positive
47590944,2023,Qtr 2,April,6,App Experience,349310,The product met my expectations.,8891144024,3,Neutral
27604184,2023,Qtr 2,April,6,Customer Service,1207954,The product met my expectations.,3012496270,4,Neutral
80862136,2023,Qtr 2,April,6,Customer Service,9896176,Will definitely order again.,9240312177,5,Positive
88779806,2023,Qtr 2,April,6,Delivery,4338034,"Excellent quality, will buy again!",155669553,4,Positive
30447453,2023,Qtr 2,April,6,Delivery,340860,"Nothing to complain about, but nothing exceptional.",7148568995,3,Neutral
72366758,2023,Qtr 2,April,6,Product Quality,5872422,Customer service was very helpful.,7579506101,5,Positive
50760299,2023,Qtr 2,April,6,Product Quality,2068193,Good selection of products.,6719085962,8,Positive
99714944,2023,Qtr 2,April,6,Product Quality,7451512,Product was damaged during delivery.,2458349464,2,Negative
16785724,2023,Qtr 2,April,7,App Experience,9339865,Highly recommended!,1827844756,4,Positive
41146001,2023,Qtr 2,April,7,App Experience,354518,"Nothing to complain about, but nothing exceptional.",5750245858,3,Neutral
48158494,2023,Qtr 2,April,7,Customer Service,4171371,"It was okay, nothing special.",5236061455,4,Neutral
21658322,2023,Qtr 2,April,7,Customer Service,129491,Product was damaged during delivery.,2711467206,2,Negative
46989310,2023,Qtr 2,April,7,Customer Service,4982482,Taste was not as expected.,8152246475,1,Negative
93018527,2023,Qtr 2,April,7,Delivery,6341437,"Average experience, could improve.",4435636116,3,Neutral
16484167,2023,Qtr 2,April,7,Delivery,3371908,Not worth the price I paid.,7343262659,3,Negative
1529180,2023,Qtr 2,April,7,Delivery,4834185,"Overall good experience, thank you!",7886908865,5,Positive
24621386,2023,Qtr 2,April,7,Product Quality,2977989,Highly recommended!,39405769,4,Positive
87889031,2023,Qtr 2,April,7,Product Quality,540592,Not worth the price I paid.,2528398796,3,Negative
59207798,2023,Qtr 2,April,7,Product Quality,394093,Product was damaged during delivery.,2784959025,3,Negative
15043066,2023,Qtr 2,April,7,Product Quality,4265897,The product met my expectations.,9279422297,4,Neutral
35278126,2023,Qtr 2,April,8,App Experience,1675649,Not worth the price I paid.,274530126,3,Negative
50105174,2023,Qtr 2,April,8,Customer Service,498361,Very happy with the service!,1809212176,5,Positive
21573815,2023,Qtr 2,April,8,Delivery,2002931,Highly recommended!,8399666962,4,Positive
99784559,2023,Qtr 2,April,8,Delivery,2785226,Not worth the price I paid.,676278878,1,Negative
9278983,2023,Qtr 2,April,8,Product Quality,3485907,The order was incorrect.,2217466286,1,Negative
60700850,2023,Qtr 2,April,9,App Experience,4371570,"It was okay, nothing special.",7154957395,3,Neutral
50572914,2023,Qtr 2,April,9,App Experience,6637386,Product was damaged during delivery.,4092550629,2,Negative
59518795,2023,Qtr 2,April,9,Customer Service,9605309,"Delivery was fine, but the product could be better.",7568450733,3,Neutral
54893418,2023,Qtr 2,April,9,Customer Service,7312687,Delivery was late and I was unhappy.,50845914,3,Negative
77921718,2023,Qtr 2,April,9,Customer Service,6559425,"Overall good experience, thank you!",6281619403,5,Positive
82359623,2023,Qtr 2,April,9,Customer Service,1456324,The product met my expectations.,4954911880,4,Neutral
7076456,2023,Qtr 2,April,9,Customer Service,7919112,Very disappointed with the quality.,3081609596,1,Negative
12059049,2023,Qtr 2,April,9,Delivery,171872,Taste was not as expected.,262562615,3,Negative
36737539,2023,Qtr 2,April,9,Delivery,6701233,Very happy with the service!,7456088789,4,Positive
101854939,2023,Qtr 2,April,9,Product Quality,13774456,The product met my expectations.,13506251698,7,Neutral
16640907,2023,Qtr 2,April,10,App Experience,9176018,"Delivery was fine, but the product could be better.",8213018419,3,Neutral
22915611,2023,Qtr 2,April,10,App Experience,7234307,Good selection of products.,4413239746,5,Positive
56441247,2023,Qtr 2,April,10,App Experience,7851198,Product was damaged during delivery.,5934372451,3,Negative
68475914,2023,Qtr 2,April,10,App Experience,7239225,Very disappointed with the quality.,8814047085,1,Negative
87463923,2023,Qtr 2,April,10,Customer Service,9545368,"Average experience, could improve.",8463856241,3,Neutral
31156674,2023,Qtr 2,April,10,Customer Service,8567193,The product met my expectations.,482214790,4,Neutral
13164195,2023,Qtr 2,April,10,Delivery,2128705,"Nothing to complain about, but nothing exceptional.",5393866026,3,Neutral
12778027,2023,Qtr 2,April,10,Product Quality,7736053,Very happy with the service!,7809161755,4,Positive
60379302,2023,Qtr 2,April,11,App Experience,2821634,"Excellent quality, will buy again!",8259274680,5,Positive
40563029,2023,Qtr 2,April,11,Customer Service,9739784,Customer service was very helpful.,4330597536,5,Positive
29584848,2023,Qtr 2,April,11,Customer Service,5383033,Delivery was late and I was unhappy.,844328418,2,Negative
62679120,2023,Qtr 2,April,11,Customer Service,9095544,Items were in perfect condition.,291439357,4,Positive
50781611,2023,Qtr 2,April,11,Customer Service,2675002,"Nothing to complain about, but nothing exceptional.",9667072962,4,Neutral
32527479,2023,Qtr 2,April,11,Customer Service,6275187,Taste was not as expected.,3084493525,2,Negative
12967305,2023,Qtr 2,April,11,Delivery,9483364,"Average experience, could improve.",279851011,3,Neutral
25526479,2023,Qtr 2,April,11,Delivery,4483011,Customer service was very helpful.,2485242479,4,Positive
1697604,2023,Qtr 2,April,11,Delivery,1500148,"Delivery was fine, but the product could be better.",6712947216,3,Neutral
28458746,2023,Qtr 2,April,11,Product Quality,1518503,The order was incorrect.,4696656818,2,Negative
74682740,2023,Qtr 2,April,11,Product Quality,761117,Very disappointed with the quality.,8811831663,1,Negative
80371626,2023,Qtr 2,April,12,Customer Service,2858625,"Nothing to complain about, but nothing exceptional.",902157975,3,Neutral
42723554,2023,Qtr 2,April,12,Customer Service,9365010,Will definitely order again.,9837170359,5,Positive
96183047,2023,Qtr 2,April,12,Delivery,6221008,The product met my expectations.,6260153684,7,Neutral
77035814,2023,Qtr 2,April,12,Product Quality,9886489,Good selection of products.,4260996213,5,Positive
65618148,2023,Qtr 2,April,12,Product Quality,5220047,Product was damaged during delivery.,6033660622,2,Negative
49258916,2023,Qtr 2,April,13,App Experience,6947439,"Excellent quality, will buy again!",5882568464,5,Positive
8395343,2023,Qtr 2,April,13,App Experience,7302984,Good selection of products.,8820606892,5,Positive
67310893,2023,Qtr 2,April,13,App Experience,1513487,The order was incorrect.,2966187610,3,Negative
33481252,2023,Qtr 2,April,13,App Experience,3909512,Very disappointed with the quality.,3547439109,2,Negative
1683786,2023,Qtr 2,April,13,Customer Service,4021637,Items were missing from my order.,3823949592,3,Negative
81605722,2023,Qtr 2,April,13,Customer Service,8770923,Product was damaged during delivery.,6999330116,1,Negative
67538982,2023,Qtr 2,April,13,Delivery,937617,Very happy with the service!,6105793582,4,Positive
79206969,2023,Qtr 2,April,13,Delivery,4219729,Will definitely order again.,549484032,5,Positive
12851610,2023,Qtr 2,April,13,Product Quality,2249681,"Nothing to complain about, but nothing exceptional.",6965716176,4,Neutral
75945609,2023,Qtr 2,April,14,App Experience,17032403,"Excellent quality, will buy again!",12467940156,10,Positive
45868300,2023,Qtr 2,April,14,Customer Service,7926825,Taste was not as expected.,6594929133,2,Negative
67729191,2023,Qtr 2,April,14,Delivery,711303,Not worth the price I paid.,1767778760,1,Negative
85907588,2023,Qtr 2,April,14,Delivery,3972829,The order was incorrect.,8766330526,1,Negative
63025744,2023,Qtr 2,April,14,Product Quality,3312118,"Average experience, could improve.",9778782281,3,Neutral
3730316,2023,Qtr 2,April,14,Product Quality,606700,"Overall good experience, thank you!",3186513319,4,Positive
29272253,2023,Qtr 2,April,15,App Experience,4994827,Customer service was not helpful.,2060061337,1,Negative
17287733,2023,Qtr 2,April,15,Customer Service,534802,The order was incorrect.,5710259220,2,Negative
34755436,2023,Qtr 2,April,15,Customer Service,4365257,Very happy with the service!,7560862152,4,Positive
82918668,2023,Qtr 2,April,15,Delivery,575544,"Delivery was fine, but the product could be better.",8321726382,4,Neutral
6637282,2023,Qtr 2,April,15,Delivery,6796400,The product met my expectations.,691827543,4,Neutral
29095552,2023,Qtr 2,April,15,Product Quality,5509014,I had a bad experience.,9876119035,3,Negative
35988028,2023,Qtr 2,April,15,Product Quality,2318001,The product met my expectations.,9277089038,4,Neutral
10048910,2023,Qtr 2,April,15,Product Quality,6382544,Very happy with the service!,7241413847,5,Positive
72947456,2023,Qtr 2,April,16,App Experience,13570942,Delivery was late and I was unhappy.,6671371784,4,Negative
11446157,2023,Qtr 2,April,16,App Experience,4789313,"Nothing to complain about, but nothing exceptional.",4616699342,4,Neutral
14479168,2023,Qtr 2,April,16,App Experience,8628202,Very happy with the service!,8263379807,4,Positive
124755240,2023,Qtr 2,April,16,Customer Service,11978074,"Average experience, could improve.",7717523339,7,Neutral
25081012,2023,Qtr 2,April,16,Customer Service,1321752,"It was okay, nothing special.",923659418,3,Neutral
115937053,2023,Qtr 2,April,16,Customer Service,14012551,The product met my expectations.,12719847477,7,Neutral
40305293,2023,Qtr 2,April,16,Delivery,8293964,Good selection of products.,9656230693,5,Positive
29973346,2023,Qtr 2,April,16,Delivery,6598501,Items were missing from my order.,2254856113,2,Negative
49147776,2023,Qtr 2,April,16,Product Quality,4820453,Delivery was late and I was unhappy.,9334479603,3,Negative
13284996,2023,Qtr 2,April,16,Product Quality,230696,Highly recommended!,4898355547,4,Positive
72089140,2023,Qtr 2,April,16,Product Quality,3612724,The product met my expectations.,5478986113,4,Neutral
13492411,2023,Qtr 2,April,17,App Experience,7645269,The product met my expectations.,538997323,4,Neutral
16420489,2023,Qtr 2,April,17,Customer Service,2998003,Items were in perfect condition.,1180899898,4,Positive
57833505,2023,Qtr 2,April,17,Delivery,3417089,"Average experience, could improve.",562428866,3,Neutral
15808945,2023,Qtr 2,April,17,Delivery,3275204,Product was damaged during delivery.,9144790321,3,Negative
14458150,2023,Qtr 2,April,17,Delivery,2062790,The product met my expectations.,9710106935,4,Neutral
154861479,2023,Qtr 2,April,17,Product Quality,8497007,Customer service was not helpful.,10514328826,5,Negative
11636968,2023,Qtr 2,April,17,Product Quality,3599242,"Excellent quality, will buy again!",8426805628,5,Positive
71411879,2023,Qtr 2,April,17,Product Quality,9554397,I had a bad experience.,1401372388,3,Negative
79298972,2023,Qtr 2,April,18,App Experience,2243553,Items were in perfect condition.,3334055527,4,Positive
39976965,2023,Qtr 2,April,18,Customer Service,1377902,"It was okay, nothing special.",9996182478,3,Neutral
62971413,2023,Qtr 2,April,18,Delivery,173796,Good selection of products.,6832435511,5,Positive
48284116,2023,Qtr 2,April,19,Customer Service,833508,"It was okay, nothing special.",4726520098,4,Neutral
73393269,2023,Qtr 2,April,19,Customer Service,2956991,Very happy with the service!,1886705751,4,Positive
88532418,2023,Qtr 2,April,19,Delivery,5491124,Customer service was very helpful.,6687307827,5,Positive
15661674,2023,Qtr 2,April,19,Delivery,9857854,I had a bad experience.,9776505630,2,Negative
98307019,2023,Qtr 2,April,19,Product Quality,7251343,"It was okay, nothing special.",7913167260,4,Neutral
65488134,2023,Qtr 2,April,19,Product Quality,7530168,Taste was not as expected.,3860678807,3,Negative
28173165,2023,Qtr 2,April,19,Product Quality,3226423,The order was incorrect.,4884197611,3,Negative
94281220,2023,Qtr 2,April,20,Product Quality,2897666,The product met my expectations.,2895464675,4,Neutral
32293017,2023,Qtr 2,April,21,App Experience,7073627,"Nothing to complain about, but nothing exceptional.",5881633926,4,Neutral
36522143,2023,Qtr 2,April,21,App Experience,15670755,Will definitely order again.,11739848121,9,Positive
70976153,2023,Qtr 2,April,21,Customer Service,7103274,"Nothing to complain about, but nothing exceptional.",7211325894,3,Neutral
85626346,2023,Qtr 2,April,21,Customer Service,856341,Product was damaged during delivery.,2351986014,3,Negative
72263318,2023,Qtr 2,April,21,Delivery,817730,Customer service was not helpful.,343050015,3,Negative
24153726,2023,Qtr 2,April,21,Delivery,4299736,"Delivery was fine, but the product could be better.",5309683159,4,Neutral
57360162,2023,Qtr 2,April,21,Delivery,3822266,"Nothing to complain about, but nothing exceptional.",8643851643,3,Neutral
92642745,2023,Qtr 2,April,21,Delivery,4792486,The packaging was poor.,3255590064,2,Negative
111515894,2023,Qtr 2,April,21,Delivery,3471346,Very fresh and well-packaged.,9300390294,10,Positive
21409946,2023,Qtr 2,April,21,Product Quality,5638774,"Average experience, could improve.",5662786245,3,Neutral
21697638,2023,Qtr 2,April,21,Product Quality,5584340,Customer service was not helpful.,8666314034,3,Negative
63092485,2023,Qtr 2,April,21,Product Quality,2446665,Taste was not as expected.,2620581496,1,Negative
