Sum of product_id,Sum of campaign_id,campaign_name,channel,Sum of clicks,Sum of conversions,Year,Quarter,Month,Day,Sum of impressions,Sum of revenue_generated,Sum of roas,Sum of spend,target_audience
9310920091,465873,App Push Notification,App,168,97,2023,Qtr 2,June,4,4749,3237.62,2.71,2996.45,Premium
9310920091,821806,App Push Notification,App,138,46,2023,Qtr 2,June,5,8763,4810.86,1.86,3480.85,New Users
9310920091,911600,App Push Notification,App,500,80,2023,Qtr 2,June,24,2547,2329.36,2.36,3597.84,All
9310920091,649342,App Push Notification,App,669,17,2023,Qtr 2,June,27,5533,8243.49,2.23,4350.79,New Users
9310920091,617245,App Push Notification,App,708,62,2023,Qtr 2,June,30,3158,4435.6,2.11,4046.83,All
9310920091,510463,App Push Notification,App,850,59,2023,Qtr 3,July,7,3574,8917.64,1.55,1787.41,All
9310920091,916636,App Push Notification,App,123,50,2023,Qtr 3,July,9,3669,8463.22,1.7,2880.23,New Users
9310920091,8397,App Push Notification,App,922,68,2023,Qtr 3,July,11,4737,5592.02,3.5,1445.99,Inactive
9310920091,712352,App Push Notification,App,331,69,2023,Qtr 3,July,16,6042,8310.67,2.49,4024.46,All
9310920091,182600,App Push Notification,App,496,85,2023,Qtr 3,July,27,7448,2076.57,1.94,3137.31,Inactive
9310920091,659238,App Push Notification,App,474,55,2023,Qtr 3,July,29,1979,4627.01,2.63,2827.36,All
9310920091,342900,App Push Notification,App,445,46,2023,Qtr 3,July,30,6110,6425.96,2.17,2839.61,Inactive
9310920091,790072,App Push Notification,App,366,32,2023,Qtr 3,August,2,2519,9702.24,2.96,1760.01,Inactive
9310920091,881795,App Push Notification,App,736,33,2023,Qtr 3,August,7,4292,5971.19,2.57,4990.53,New Users
9310920091,746785,App Push Notification,App,424,69,2023,Qtr 3,August,13,5783,9343.6,1.51,3608.57,All
9310920091,808280,App Push Notification,App,109,98,2023,Qtr 3,August,14,2759,2558.98,3.89,4967.12,New Users
9310920091,326770,App Push Notification,App,360,67,2023,Qtr 3,August,15,8155,9496.53,3.92,1816.43,All
9310920091,34023,App Push Notification,App,838,36,2023,Qtr 3,August,22,9525,6599.28,2.68,2764.83,Inactive
9310920091,51227,App Push Notification,App,337,78,2023,Qtr 3,August,25,8679,9570.07,2.51,2001.44,Inactive
9310920091,317158,App Push Notification,App,266,45,2023,Qtr 3,September,1,1359,3911.23,2.49,4858.51,New Users
9310920091,856812,App Push Notification,App,655,80,2023,Qtr 3,September,2,7791,4098.05,2.53,4892.46,All
9310920091,906335,App Push Notification,App,415,42,2023,Qtr 3,September,3,1340,9462.34,3.57,2663.37,New Users
9310920091,909955,App Push Notification,App,955,47,2023,Qtr 3,September,4,4038,7418.11,3.23,1136,Premium
9310920091,629442,App Push Notification,App,683,51,2023,Qtr 3,September,19,6265,5411.68,2.66,1798.33,New Users
9310920091,920097,App Push Notification,App,354,46,2023,Qtr 3,September,26,6266,9293.08,2.25,4519.14,New Users
9310920091,569095,App Push Notification,App,398,39,2023,Qtr 4,October,1,5744,5011.32,2.57,2607.19,Premium
9310920091,15660,App Push Notification,App,976,43,2023,Qtr 4,October,3,1474,4530.24,2.77,2599.02,All
9310920091,906748,App Push Notification,App,727,50,2023,Qtr 4,October,18,2335,6064.86,3.98,3523.32,Inactive
9310920091,515075,App Push Notification,App,985,37,2023,Qtr 4,October,19,2098,3757.2,3.41,1222.01,Inactive
9310920091,560039,App Push Notification,App,722,60,2023,Qtr 4,October,29,9868,2306.02,3.24,1426.56,All
9310920091,489774,App Push Notification,App,464,29,2023,Qtr 4,November,1,7006,8981.2,2.54,1777.3,New Users
9310920091,497034,App Push Notification,App,407,71,2023,Qtr 4,November,12,7618,7706.26,3.3,2548.17,Premium
9310920091,51315,App Push Notification,App,782,71,2023,Qtr 4,November,22,2874,3388.13,2.6,3549.28,Premium
9310920091,927300,App Push Notification,App,791,10,2023,Qtr 4,December,4,8387,4715.84,2.31,2142.68,Inactive
9310920091,223037,App Push Notification,App,500,84,2023,Qtr 4,December,8,3394,6314.63,3.9,3362.98,All
9310920091,851175,App Push Notification,App,499,34,2023,Qtr 4,December,9,8958,6361.4,2.43,2257.8,New Users
9310920091,833745,App Push Notification,App,131,57,2023,Qtr 4,December,11,7141,6892.46,1.83,3801.07,All
9310920091,917774,App Push Notification,App,647,63,2023,Qtr 4,December,16,7213,2605.68,3.69,2340.61,All
9310920091,977822,App Push Notification,App,266,25,2023,Qtr 4,December,18,8420,8629.7,3.38,1813.24,Inactive
9310920091,900221,App Push Notification,App,642,88,2023,Qtr 4,December,19,5959,8459.99,3.61,4234.89,Inactive
9310920091,381935,App Push Notification,App,240,48,2023,Qtr 4,December,20,6180,6825.68,1.96,2482.03,All
9310920091,86408,App Push Notification,App,961,70,2024,Qtr 1,January,2,3339,6289.95,2.42,2724.52,All
9310920091,600143,App Push Notification,App,417,64,2024,Qtr 1,January,4,5320,2117.06,3.79,2912.93,All
9310920091,781963,App Push Notification,App,615,84,2024,Qtr 1,January,5,2360,8749.45,1.66,2401.54,Premium
9310920091,382622,App Push Notification,App,124,32,2024,Qtr 1,January,10,3799,4018.14,3.07,3938.6,Inactive
9310920091,894649,App Push Notification,App,636,42,2024,Qtr 1,January,19,2282,5993.75,3.82,4331.98,New Users
9310920091,841684,App Push Notification,App,908,16,2024,Qtr 1,January,21,1543,6688.51,2.55,1729.1,Premium
9310920091,58459,App Push Notification,App,203,88,2024,Qtr 1,January,22,5070,5500.96,3.76,4098.57,All
9310920091,907493,App Push Notification,App,518,75,2024,Qtr 1,January,28,1650,6718.68,3.09,4815.24,Premium
9310920091,43531,App Push Notification,App,513,59,2024,Qtr 1,January,29,8040,5736.21,1.99,2721.11,New Users
9310920091,310731,App Push Notification,App,358,67,2024,Qtr 1,January,31,8335,2299.61,2.1,4475.74,Premium
9310920091,770860,App Push Notification,App,895,30,2024,Qtr 1,February,1,4481,3331.12,2.16,1417.55,All
9310920091,710286,App Push Notification,App,677,15,2024,Qtr 1,February,4,9913,4072.89,3.33,3678.35,All
9310920091,317486,App Push Notification,App,990,13,2024,Qtr 1,February,6,7645,9932.91,3.38,1277.74,Premium
9310920091,967030,App Push Notification,App,389,13,2024,Qtr 1,February,9,6180,2903.03,2.96,4015.1,Inactive
9310920091,861025,App Push Notification,App,391,31,2024,Qtr 1,February,14,4720,2687.01,1.95,1644.63,Premium
9310920091,575186,App Push Notification,App,551,33,2024,Qtr 1,February,16,4608,8090.78,3.6,3311.6,Premium
9310920091,994906,App Push Notification,App,184,82,2024,Qtr 1,February,18,5342,5282.98,2.24,1653.48,New Users
9310920091,984163,App Push Notification,App,185,24,2024,Qtr 1,February,25,8394,7267.18,2.99,2350.96,Inactive
9310920091,654713,App Push Notification,App,345,20,2024,Qtr 1,March,6,7788,3271.1,2.02,4935.87,Premium
9310920091,744662,App Push Notification,App,430,29,2024,Qtr 1,March,7,7509,6419.55,3.44,4546.24,Premium
9310920091,165974,App Push Notification,App,236,63,2024,Qtr 1,March,10,1717,5645.18,2.42,1465.3,Inactive
9310920091,145252,App Push Notification,App,150,93,2024,Qtr 1,March,11,1243,9106.36,3.65,2712.62,New Users
9310920091,745972,App Push Notification,App,664,35,2024,Qtr 1,March,16,7777,7683.54,3.51,2471.22,New Users
9310920091,147387,App Push Notification,App,653,73,2024,Qtr 1,March,23,1508,3447.31,2.46,3629.17,Premium
9310920091,490580,App Push Notification,App,426,65,2024,Qtr 1,March,25,8382,3639.58,3.87,4561.83,Premium
9310920091,436035,App Push Notification,App,254,76,2024,Qtr 1,March,26,3980,6511.7,1.93,2640.97,All
9310920091,413373,App Push Notification,App,268,82,2024,Qtr 1,March,29,6929,5730.36,3.74,1970.09,Inactive
9310920091,85799,App Push Notification,App,869,30,2024,Qtr 2,April,1,4730,8407.82,1.6,4878.43,Inactive
9310920091,696799,App Push Notification,App,237,50,2024,Qtr 2,April,6,7898,9493.29,3.3,1219.35,Premium
9310920091,137535,App Push Notification,App,493,27,2024,Qtr 2,April,7,3385,3742.89,3.99,4849.52,Premium
9310920091,911833,App Push Notification,App,628,38,2024,Qtr 2,April,10,2596,5270.89,3.62,1991.56,All
9310920091,47386,App Push Notification,App,285,95,2024,Qtr 2,April,11,9049,7385.59,2.32,1967.28,All
9310920091,170727,App Push Notification,App,536,79,2024,Qtr 2,April,18,5875,9104.3,2.2,3839.61,All
9310920091,341092,App Push Notification,App,703,80,2024,Qtr 2,April,20,2650,5767.89,1.68,4798.71,Premium
9310920091,676429,App Push Notification,App,302,67,2024,Qtr 2,April,21,6308,5178.12,3.8,2253.58,New Users
9310920091,165997,App Push Notification,App,540,59,2024,Qtr 2,April,22,8725,3229.58,2.8,4920.08,Premium
9310920091,64362,App Push Notification,App,276,58,2024,Qtr 2,May,3,5559,6518.69,3.92,4143.46,All
9310920091,745023,App Push Notification,App,474,88,2024,Qtr 2,May,8,6919,3097.33,3.75,3246.22,New Users
9310920091,776354,App Push Notification,App,135,59,2024,Qtr 2,May,17,7971,3916.74,3.74,1804.32,Premium
9310920091,185421,App Push Notification,App,168,11,2024,Qtr 2,May,19,5199,8912.6,1.86,4365.19,Inactive
9310920091,936816,App Push Notification,App,118,13,2024,Qtr 2,May,22,6688,8694.93,3.11,2756.57,New Users
9310920091,892639,App Push Notification,App,628,45,2024,Qtr 2,May,25,1064,9885.29,2.54,1946.69,New Users
9310920091,3645,App Push Notification,App,264,34,2024,Qtr 2,May,29,2629,7441.19,3.93,4888.62,All
9310920091,111747,App Push Notification,App,183,94,2024,Qtr 2,June,2,5559,2744.81,2.35,3507.19,New Users
9310920091,211677,App Push Notification,App,634,44,2024,Qtr 2,June,5,3290,3974.74,2.54,4335.94,All
9310920091,933590,App Push Notification,App,811,60,2024,Qtr 2,June,8,1037,4518.31,3.51,2507.04,New Users
9310920091,344444,App Push Notification,App,813,20,2024,Qtr 2,June,10,8820,5302.11,2.2,3961.21,All
9310920091,233151,App Push Notification,App,722,99,2024,Qtr 2,June,19,6735,7836.34,2.66,3116.17,Inactive
9310920091,937934,App Push Notification,App,297,17,2024,Qtr 2,June,25,2142,5178.49,1.96,4271.51,Inactive
9310920091,316186,App Push Notification,App,768,37,2024,Qtr 2,June,30,7950,4830.83,3.2,4374.78,New Users
9310920091,222013,App Push Notification,App,525,65,2024,Qtr 3,July,3,5590,8038.75,3.45,4865.84,All
9310920091,660547,App Push Notification,App,873,40,2024,Qtr 3,July,5,5188,8709.88,3.41,2262.6,Inactive
9310920091,497519,App Push Notification,App,572,50,2024,Qtr 3,July,7,3319,5632.85,3.65,2778.66,Inactive
9310920091,575066,App Push Notification,App,302,56,2024,Qtr 3,July,8,7977,9691.47,1.82,3983.37,Inactive
9310920091,253036,App Push Notification,App,216,25,2024,Qtr 3,July,10,1209,8394.96,2.29,2752.45,Inactive
9310920091,169545,App Push Notification,App,249,56,2024,Qtr 3,July,12,4042,7066.93,3.12,2741.56,All
9310920091,975447,App Push Notification,App,390,79,2024,Qtr 3,July,19,2217,8925.23,2.25,3183.66,Premium
9310920091,220469,App Push Notification,App,373,63,2024,Qtr 3,July,23,3611,4552.32,3.89,1134.99,Premium
9310920091,656922,App Push Notification,App,343,74,2024,Qtr 3,July,24,3666,2109.29,1.83,4496.52,Inactive
9310920091,953953,App Push Notification,App,616,79,2024,Qtr 3,July,29,4868,7692.36,3.03,3763.68,Premium
9310920091,930544,App Push Notification,App,708,93,2024,Qtr 3,August,2,8787,5739.27,2.76,2127.63,New Users
9310920091,477556,App Push Notification,App,555,98,2024,Qtr 3,August,3,1805,4581.49,2.06,1845.04,All
9310920091,389548,App Push Notification,App,520,52,2024,Qtr 3,August,5,6365,7771.18,2.06,3270.32,New Users
9310920091,992418,App Push Notification,App,747,41,2024,Qtr 3,August,12,2399,8433.09,3.89,2068.79,Inactive
9310920091,822459,App Push Notification,App,934,47,2024,Qtr 3,August,13,4705,6220.46,3.58,3029.71,New Users
9310920091,130406,App Push Notification,App,728,76,2024,Qtr 3,August,15,2357,5133.79,2.54,2693.79,New Users
9310920091,763730,App Push Notification,App,536,83,2024,Qtr 3,August,21,1254,2421.68,1.97,1877.51,All
9310920091,388717,App Push Notification,App,938,95,2024,Qtr 3,September,1,6810,6778.49,2.81,1844.63,Inactive
9310920091,809453,App Push Notification,App,301,54,2024,Qtr 3,September,6,7909,6042.05,2.5,2366.84,New Users
9310920091,736511,App Push Notification,App,111,33,2024,Qtr 3,September,10,8616,4075.84,3.52,1237.11,New Users
9310920091,101853,App Push Notification,App,787,85,2024,Qtr 3,September,11,9616,7009.97,3.83,4932.48,All
9310920091,142430,App Push Notification,App,904,71,2024,Qtr 3,September,12,4671,5253.8,2.69,2436.42,New Users
9310920091,399124,App Push Notification,App,893,30,2024,Qtr 3,September,14,2364,6357.39,2.14,4344.97,Inactive
9310920091,616821,App Push Notification,App,483,85,2024,Qtr 3,September,25,1537,2232.96,3.74,2416.66,Premium
9310920091,419190,App Push Notification,App,307,32,2024,Qtr 4,October,4,9171,8952.45,1.8,3036.79,New Users
9310920091,99247,App Push Notification,App,270,72,2024,Qtr 4,October,9,4091,7910.02,2.01,1486.72,New Users
9310920091,808905,App Push Notification,App,472,59,2024,Qtr 4,October,13,6174,6950.51,3.39,2242.83,New Users
9310920091,71028,App Push Notification,App,547,39,2024,Qtr 4,October,18,9195,9024.93,3.14,3435.03,Inactive
9310920091,794495,App Push Notification,App,634,58,2024,Qtr 4,October,27,3049,7406.66,2.9,2093.96,New Users
9310920091,378426,App Push Notification,App,719,70,2024,Qtr 4,October,30,2155,6322.5,3.82,2233.21,Premium
9310920091,531307,App Push Notification,App,975,73,2024,Qtr 4,November,2,7562,7097.94,1.8,2298.76,All
9310920091,844588,App Push Notification,Email,240,98,2023,Qtr 1,March,19,2064,9905.9,2.72,3006.57,Inactive
9310920091,715064,App Push Notification,Email,145,74,2023,Qtr 1,March,26,8272,3453.24,2.45,3268.34,Inactive
9310920091,752351,App Push Notification,Email,472,95,2023,Qtr 1,March,31,2580,5458.71,1.83,3725.26,All
9310920091,350572,App Push Notification,Email,823,12,2023,Qtr 2,April,2,9689,4749.32,3.5,1464.18,All
9310920091,469575,App Push Notification,Email,226,93,2023,Qtr 2,April,4,5340,8791.84,1.7,2312.99,New Users
9310920091,553566,App Push Notification,Email,575,88,2023,Qtr 2,April,10,3789,5839.97,1.99,2485.95,Premium
9310920091,895468,App Push Notification,Email,891,81,2023,Qtr 2,April,11,2741,4017.56,3.64,4097.76,New Users
9310920091,21583,App Push Notification,Email,572,18,2023,Qtr 2,April,22,6287,4253.05,2.81,4799.81,All
9310920091,182746,App Push Notification,Email,470,51,2023,Qtr 2,April,24,7710,6137.65,3.63,1536.87,All
9310920091,178703,App Push Notification,Email,568,26,2023,Qtr 2,April,25,5015,3712.89,2.93,1472.31,Premium
9310920091,840265,App Push Notification,Email,298,15,2023,Qtr 2,May,3,6663,2736.37,3.3,4955.72,Inactive
9310920091,27094,App Push Notification,Email,231,16,2023,Qtr 2,May,9,6290,6913.03,3.71,3026.27,Premium
9310920091,341661,App Push Notification,Email,695,84,2023,Qtr 2,May,10,3207,9099.22,1.78,1010.36,Inactive
9310920091,36759,App Push Notification,Email,812,57,2023,Qtr 2,May,14,7422,9742.37,1.54,2883.81,New Users
9310920091,652498,App Push Notification,Email,923,32,2023,Qtr 2,May,18,5595,6666.66,3.81,1951.84,All
9310920091,530817,App Push Notification,Email,865,44,2023,Qtr 2,May,20,8152,6642.73,3,4771.08,All
9310920091,52598,App Push Notification,Email,897,99,2023,Qtr 2,May,21,4796,3288.22,2.14,3865.85,Premium
9310920091,199843,App Push Notification,Email,275,58,2023,Qtr 2,May,22,1630,3507.75,3.89,4160.92,All
9310920091,571933,App Push Notification,Email,176,79,2023,Qtr 2,May,26,7386,9337.1,3.15,2834.39,Inactive
9310920091,597540,App Push Notification,Email,963,94,2023,Qtr 2,May,28,3374,6635.72,3.48,4855.05,Premium
9310920091,152082,App Push Notification,Email,294,93,2023,Qtr 2,May,29,9261,7010.37,3.22,2337.25,New Users
9310920091,893210,App Push Notification,Email,440,76,2023,Qtr 2,June,6,5680,4783.8,3,1360.36,Inactive
9310920091,41094,App Push Notification,Email,642,64,2023,Qtr 2,June,7,2471,5552.56,3.91,4045.98,New Users
9310920091,912246,App Push Notification,Email,279,21,2023,Qtr 2,June,14,5127,2006.13,3.27,1835.65,New Users
9310920091,684464,App Push Notification,Email,154,87,2023,Qtr 2,June,15,2279,4331.01,2.7,2602.88,Premium
9310920091,290348,App Push Notification,Email,138,31,2023,Qtr 2,June,17,3044,8126.32,3.08,1874.37,All
9310920091,217567,App Push Notification,Email,150,84,2023,Qtr 2,June,21,1197,2206.1,1.69,3484.97,Premium
9310920091,828170,App Push Notification,Email,808,91,2023,Qtr 2,June,23,1206,2661.9,2.55,2170.74,Inactive
9310920091,17075,App Push Notification,Email,355,40,2023,Qtr 2,June,25,2573,3844.88,2.52,4220.54,All
9310920091,877208,App Push Notification,Email,342,15,2023,Qtr 3,July,2,5287,9651.04,3,2873.38,Premium
9310920091,131083,App Push Notification,Email,274,95,2023,Qtr 3,July,6,6570,7847.89,2.94,4673.12,Premium
9310920091,52681,App Push Notification,Email,880,48,2023,Qtr 3,July,8,6549,3241.34,2.99,1623.8,All
9310920091,387796,App Push Notification,Email,533,68,2023,Qtr 3,July,12,3554,5040.3,3.36,3967.92,All
9310920091,306318,App Push Notification,Email,720,59,2023,Qtr 3,July,13,7293,3596.5,1.64,4228.67,Inactive
9310920091,898709,App Push Notification,Email,429,89,2023,Qtr 3,July,17,3485,4079.88,2.26,2118.36,All
9310920091,204402,App Push Notification,Email,470,49,2023,Qtr 3,July,19,8776,7621.46,2.09,2244.92,Premium
9310920091,287650,App Push Notification,Email,407,12,2023,Qtr 3,July,21,8076,3805.85,3.3,1658.73,All
9310920091,51236,App Push Notification,Email,841,54,2023,Qtr 3,July,31,2375,4025.88,3,2294.13,New Users
9310920091,291690,App Push Notification,Email,230,46,2023,Qtr 3,August,6,9646,3456.48,3.32,4147.91,New Users
9310920091,270672,App Push Notification,Email,687,33,2023,Qtr 3,August,19,2556,2393.88,2.82,1108.34,All
9310920091,54688,App Push Notification,Email,824,77,2023,Qtr 3,August,20,7507,2505.37,2.47,2677.33,Inactive
9310920091,984926,App Push Notification,Email,151,45,2023,Qtr 3,August,23,3493,8335.5,3.84,3492.56,All
9310920091,460882,App Push Notification,Email,732,85,2023,Qtr 3,September,7,8744,6528.68,3.76,3175.86,Premium
9310920091,247980,App Push Notification,Email,724,62,2023,Qtr 3,September,8,2680,3792.91,2.44,4261.69,Inactive
9310920091,103909,App Push Notification,Email,243,58,2023,Qtr 3,September,12,6525,2580.37,2.37,3761.21,Inactive
9310920091,795984,App Push Notification,Email,490,87,2023,Qtr 3,September,15,8926,4884.42,1.72,3292.96,New Users
9310920091,130120,App Push Notification,Email,893,89,2023,Qtr 3,September,18,6748,3624.38,3.98,1847.83,All
9310920091,304899,App Push Notification,Email,383,37,2023,Qtr 3,September,22,5581,2997.92,2.36,4209.83,Premium
9310920091,700400,App Push Notification,Email,706,48,2023,Qtr 3,September,23,6922,9937.89,2.71,1194.61,Inactive
9310920091,689380,App Push Notification,Email,623,85,2023,Qtr 3,September,28,7749,7426.39,3.15,3278.93,Inactive
9310920091,103671,App Push Notification,Email,422,89,2023,Qtr 3,September,29,1415,9358.9,1.71,3466.07,New Users
9310920091,821413,App Push Notification,Email,381,25,2023,Qtr 4,October,2,1048,9022.58,3.6,1641.8,Premium
9310920091,798418,App Push Notification,Email,498,90,2023,Qtr 4,October,5,7522,5835.75,2.37,1258.37,All
9310920091,465848,App Push Notification,Email,477,52,2023,Qtr 4,October,9,7099,7873.61,3.24,1171.55,Premium
9310920091,322506,App Push Notification,Email,203,57,2023,Qtr 4,October,11,1006,2989.29,2.51,4953.11,New Users
9310920091,237402,App Push Notification,Email,126,30,2023,Qtr 4,October,14,2358,5137.61,2.87,1323.34,Premium
9310920091,248283,App Push Notification,Email,288,46,2023,Qtr 4,October,16,5106,3733.61,3.72,4362,All
9310920091,614329,App Push Notification,Email,855,91,2023,Qtr 4,October,24,9257,4656.8,2.29,2880.17,New Users
9310920091,781965,App Push Notification,Email,353,82,2023,Qtr 4,October,25,6508,9579.9,2.71,3635.57,All
9310920091,501370,App Push Notification,Email,305,57,2023,Qtr 4,October,28,9475,3775.96,2.68,3473.25,Inactive
9310920091,281887,App Push Notification,Email,765,84,2023,Qtr 4,November,2,5265,7630.52,1.76,1810.21,New Users
9310920091,185180,App Push Notification,Email,444,22,2023,Qtr 4,November,3,7549,8899.62,2.2,3644.01,Premium
9310920091,130091,App Push Notification,Email,970,39,2023,Qtr 4,November,5,1906,7865.5,3.92,1922.39,New Users
9310920091,583896,App Push Notification,Email,214,57,2023,Qtr 4,November,7,1963,5271.07,3.21,2769,Premium
9310920091,201406,App Push Notification,Email,717,51,2023,Qtr 4,November,15,1622,7783.21,1.64,4375.26,All
9310920091,882723,App Push Notification,Email,585,12,2023,Qtr 4,November,17,2222,7943.57,3.03,1551.51,New Users
9310920091,841351,App Push Notification,Email,960,42,2023,Qtr 4,November,18,4959,5540.87,1.81,1175.75,Inactive
9310920091,52019,App Push Notification,Email,926,46,2023,Qtr 4,November,19,7170,6891.34,2.77,2249.83,Inactive
9310920091,48752,App Push Notification,Email,850,28,2023,Qtr 4,December,5,3670,6691.74,2.84,4480.14,Inactive
9310920091,352482,App Push Notification,Email,802,50,2023,Qtr 4,December,22,1054,3259.64,3.37,2613.86,All
9310920091,604479,App Push Notification,Email,581,16,2023,Qtr 4,December,23,3988,8282.28,1.97,1534.99,Inactive
9310920091,580306,App Push Notification,Email,417,36,2023,Qtr 4,December,28,6554,5981.06,1.9,2029.44,All
9310920091,414575,App Push Notification,Email,554,53,2023,Qtr 4,December,30,6605,2394.82,3,2873.96,Inactive
9310920091,659873,App Push Notification,Email,748,31,2024,Qtr 1,January,12,6239,6033.74,2.85,1932.46,Premium
9310920091,224613,App Push Notification,Email,916,77,2024,Qtr 1,January,13,4425,3670.38,2.33,4954.62,Inactive
9310920091,105853,App Push Notification,Email,183,59,2024,Qtr 1,January,17,4132,7372.54,3.91,3234.9,All
9310920091,904936,App Push Notification,Email,254,56,2024,Qtr 1,January,23,3233,5280.02,2.71,1140.7,Premium
9310920091,831284,App Push Notification,Email,794,24,2024,Qtr 1,January,25,4259,5013.21,2.37,1877.1,New Users
9310920091,480513,App Push Notification,Email,613,23,2024,Qtr 1,January,26,8006,9034.27,2.19,1764.14,Premium
9310920091,696082,App Push Notification,Email,631,58,2024,Qtr 1,February,3,4746,5415.96,3.09,3498.12,All
9310920091,561353,App Push Notification,Email,843,72,2024,Qtr 1,February,5,8657,8669.66,2.23,2442.36,All
9310920091,828961,App Push Notification,Email,678,72,2024,Qtr 1,February,8,6453,3513.21,2.94,4243.84,Premium
9310920091,869401,App Push Notification,Email,963,46,2024,Qtr 1,February,21,7586,9855.76,3.71,3564.37,Premium
9310920091,437596,App Push Notification,Email,662,79,2024,Qtr 1,February,26,4100,3976.85,2.01,4759.21,All
9310920091,86556,App Push Notification,Email,695,71,2024,Qtr 1,March,1,7199,4207.51,3.14,4503.02,New Users
9310920091,10502,App Push Notification,Email,449,75,2024,Qtr 1,March,3,2115,9807.18,2.04,3543.62,New Users
9310920091,274702,App Push Notification,Email,894,17,2024,Qtr 1,March,5,8415,9045.85,2.09,4450.57,Premium
9310920091,317173,App Push Notification,Email,990,88,2024,Qtr 1,March,12,3476,6061.31,2.16,1234.44,Inactive
9310920091,662758,App Push Notification,Email,995,39,2024,Qtr 1,March,13,1525,3136.61,1.94,4490.35,Premium
9310920091,267540,App Push Notification,Email,859,76,2024,Qtr 1,March,14,1295,4795.73,3.54,1451.85,All
9310920091,313052,App Push Notification,Email,301,31,2024,Qtr 1,March,17,6498,5966.57,2.57,3609.64,All
9310920091,103601,App Push Notification,Email,549,85,2024,Qtr 1,March,19,4920,4253.31,3.39,4019.69,New Users
9310920091,182422,App Push Notification,Email,937,18,2024,Qtr 1,March,21,2109,8164.92,2.15,2351.5,New Users
9310920091,752197,App Push Notification,Email,279,91,2024,Qtr 1,March,22,2570,9048.38,2.76,2777.74,Premium
9310920091,366815,App Push Notification,Email,932,48,2024,Qtr 2,April,3,1849,2501.33,1.82,1603.23,Premium
9310920091,422021,App Push Notification,Email,756,76,2024,Qtr 2,April,4,7822,9120.96,1.63,4910.53,New Users
9310920091,505899,App Push Notification,Email,680,75,2024,Qtr 2,April,12,7458,9039.48,3.02,4594.28,Premium
9310920091,849197,App Push Notification,Email,712,90,2024,Qtr 2,April,13,2576,9242.51,1.98,4775.11,Inactive
9310920091,799959,App Push Notification,Email,694,49,2024,Qtr 2,April,14,4145,9047.55,2.89,1612.43,New Users
9310920091,76348,App Push Notification,Email,841,33,2024,Qtr 2,April,17,2373,3312.83,3.61,3580.03,All
9310920091,499174,App Push Notification,Email,629,95,2024,Qtr 2,April,19,7361,7119.06,3.03,2327.28,Premium
