Year,Quarter,Month,Day,Sum of delivery_partner_id,delivery_status,Sum of delivery_time_minutes,Sum of order_id,Sum of distance_km,Year,Quarter,Month,Day,reasons_if_delayed
2023,Qtr 1,March,24,123028,Slightly Delayed,19,10263156845,4.35,2023,Qtr 1,March,24,Traffic
2023,Qtr 1,March,25,223162,On Time,-15,27320913003,7.46,2023,Qtr 1,March,25,""
2023,Qtr 1,March,25,272900,On Time,15,13923222543,10.24,2023,Qtr 1,March,25,Traffic
2023,Qtr 1,March,25,99066,Significantly Delayed,28,1483786406,3.36,2023,Qtr 1,March,25,Traffic
2023,Qtr 1,March,25,104325,Slightly Delayed,22,15754281941,5.44,2023,Qtr 1,March,25,Traffic
2023,Qtr 1,March,26,138415,On Time,-8,13445199016,6.93,2023,Qtr 1,March,26,""
2023,Qtr 1,March,26,32574,On Time,7,9181567482,5.88,2023,Qtr 1,March,26,Traffic
2023,Qtr 1,March,26,23297,Significantly Delayed,28,2193572534,1.4,2023,Qtr 1,March,26,Traffic
2023,Qtr 1,March,26,88825,Slightly Delayed,33,11088326386,9.16,2023,Qtr 1,March,26,Traffic
2023,Qtr 1,March,27,102815,On Time,-3,14563122345,11.69,2023,Qtr 1,March,27,""
2023,Qtr 1,March,27,35602,On Time,2,997535715,4.02,2023,Qtr 1,March,27,Traffic
2023,Qtr 1,March,27,28954,Significantly Delayed,18,4816980820,2.31,2023,Qtr 1,March,27,Traffic
2023,Qtr 1,March,27,34580,Slightly Delayed,13,6083333956,2.12,2023,Qtr 1,March,27,Traffic
2023,Qtr 1,March,28,170408,On Time,-10,17286072450,10.77,2023,Qtr 1,March,28,""
2023,Qtr 1,March,28,107190,On Time,5,15043385558,8.09,2023,Qtr 1,March,28,Traffic
2023,Qtr 1,March,28,100792,Slightly Delayed,28,18136474522,3.07,2023,Qtr 1,March,28,Traffic
2023,Qtr 1,March,29,128589,On Time,-4,13044306863,6.91,2023,Qtr 1,March,29,""
2023,Qtr 1,March,29,197634,On Time,8,12185324421,8.81,2023,Qtr 1,March,29,Traffic
2023,Qtr 1,March,29,151975,Slightly Delayed,30,17147325335,12.85,2023,Qtr 1,March,29,Traffic
2023,Qtr 1,March,30,138455,On Time,-10,12195420605,8.09,2023,Qtr 1,March,30,""
2023,Qtr 1,March,30,32387,On Time,4,13844153015,8.92,2023,Qtr 1,March,30,Traffic
2023,Qtr 1,March,30,121159,Significantly Delayed,50,8918033296,6.06,2023,Qtr 1,March,30,Traffic
2023,Qtr 1,March,30,16610,Slightly Delayed,15,156346853,1.43,2023,Qtr 1,March,30,Traffic
2023,Qtr 1,March,31,133306,On Time,-3,8830841941,7.28,2023,Qtr 1,March,31,""
2023,Qtr 1,March,31,7068,On Time,1,3680678403,1.06,2023,Qtr 1,March,31,Traffic
2023,Qtr 1,March,31,121898,Slightly Delayed,35,18340593383,9.28,2023,Qtr 1,March,31,Traffic
2023,Qtr 2,April,1,146751,On Time,-2,10746385685,4.91,2023,Qtr 2,April,1,""
2023,Qtr 2,April,1,99091,On Time,7,5133861263,5.63,2023,Qtr 2,April,1,Traffic
2023,Qtr 2,April,1,181295,Slightly Delayed,25,13835974032,9.49,2023,Qtr 2,April,1,Traffic
2023,Qtr 2,April,2,272985,On Time,-14,23706424260,17.01,2023,Qtr 2,April,2,""
2023,Qtr 2,April,2,126406,On Time,8,891176430,8.66,2023,Qtr 2,April,2,Traffic
2023,Qtr 2,April,2,92065,Slightly Delayed,20,19065246047,3.58,2023,Qtr 2,April,2,Traffic
2023,Qtr 2,April,3,104197,On Time,-1,10981850238,6.51,2023,Qtr 2,April,3,""
2023,Qtr 2,April,3,6698,On Time,3,1195560119,1.79,2023,Qtr 2,April,3,Traffic
2023,Qtr 2,April,3,68310,Significantly Delayed,48,9148478167,3.21,2023,Qtr 2,April,3,Traffic
2023,Qtr 2,April,3,16318,Slightly Delayed,7,9409585531,4.52,2023,Qtr 2,April,3,Traffic
2023,Qtr 2,April,4,89237,On Time,-8,15124756798,11.9,2023,Qtr 2,April,4,""
2023,Qtr 2,April,4,143534,On Time,6,13092543946,5.76,2023,Qtr 2,April,4,Traffic
2023,Qtr 2,April,4,34837,Slightly Delayed,26,15026474174,1.92,2023,Qtr 2,April,4,Traffic
2023,Qtr 2,April,5,102677,On Time,-8,22191041231,5.28,2023,Qtr 2,April,5,""
2023,Qtr 2,April,5,294952,On Time,10,30529053008,5.82,2023,Qtr 2,April,5,Traffic
2023,Qtr 2,April,5,60702,Slightly Delayed,13,488314125,3.13,2023,Qtr 2,April,5,Traffic
2023,Qtr 2,April,6,400510,On Time,-11,20585121510,17.49,2023,Qtr 2,April,6,""
2023,Qtr 2,April,6,75155,On Time,7,14759237814,8.96,2023,Qtr 2,April,6,Traffic
2023,Qtr 2,April,6,72059,Significantly Delayed,20,7148568995,2.26,2023,Qtr 2,April,6,Traffic
2023,Qtr 2,April,6,131990,Slightly Delayed,15,11790558732,3.96,2023,Qtr 2,April,6,Traffic
2023,Qtr 2,April,7,174568,On Time,-10,24578772094,10.17,2023,Qtr 2,April,7,""
2023,Qtr 2,April,7,299148,On Time,16,25079036760,17.22,2023,Qtr 2,April,7,Traffic
2023,Qtr 2,April,7,76410,Slightly Delayed,36,8318050423,6.72,2023,Qtr 2,April,7,Traffic
2023,Qtr 2,April,8,80756,On Time,-10,10885158016,13.14,2023,Qtr 2,April,8,""
2023,Qtr 2,April,8,91325,Significantly Delayed,45,2491996412,6.44,2023,Qtr 2,April,8,Traffic
2023,Qtr 2,April,9,426314,On Time,-11,37910817024,25.23,2023,Qtr 2,April,9,""
2023,Qtr 2,April,9,191294,On Time,16,16499031628,13.41,2023,Qtr 2,April,9,Traffic
2023,Qtr 2,April,10,173971,On Time,-15,20142285562,9.71,2023,Qtr 2,April,10,""
2023,Qtr 2,April,10,134009,On Time,6,8291376545,9.57,2023,Qtr 2,April,10,Traffic
2023,Qtr 2,April,10,97345,Significantly Delayed,21,8213018419,3.04,2023,Qtr 2,April,10,Traffic
2023,Qtr 2,April,10,40747,Slightly Delayed,20,12877095987,9.17,2023,Qtr 2,April,10,Traffic
2023,Qtr 2,April,11,167021,On Time,-4,11024368170,11.81,2023,Qtr 2,April,11,""
2023,Qtr 2,April,11,193419,On Time,16,23231309297,15.41,2023,Qtr 2,April,11,Traffic
2023,Qtr 2,April,11,21982,Significantly Delayed,27,844328418,4.68,2023,Qtr 2,April,11,Traffic
2023,Qtr 2,April,11,127020,Slightly Delayed,20,14363729780,5.88,2023,Qtr 2,April,11,Traffic
2023,Qtr 2,April,12,132461,On Time,-6,3636975629,5.16,2023,Qtr 2,April,12,""
2023,Qtr 2,April,12,62865,On Time,1,9837170359,0.59,2023,Qtr 2,April,12,Traffic
2023,Qtr 2,April,12,14963,Significantly Delayed,17,4260996213,1.23,2023,Qtr 2,April,12,Traffic
2023,Qtr 2,April,12,84368,Slightly Delayed,22,9558996652,8.06,2023,Qtr 2,April,12,Traffic
2023,Qtr 2,April,13,213853,On Time,-9,13253957165,6.36,2023,Qtr 2,April,13,""
2023,Qtr 2,April,13,184883,On Time,6,16335807100,13.33,2023,Qtr 2,April,13,Traffic
2023,Qtr 2,April,13,52664,Significantly Delayed,23,6999330116,3.9,2023,Qtr 2,April,13,Traffic
2023,Qtr 2,April,13,75222,Slightly Delayed,21,9071981192,5.64,2023,Qtr 2,April,13,Traffic
2023,Qtr 2,April,14,225471,On Time,-5,20988867417,4.84,2023,Qtr 2,April,14,""
2023,Qtr 2,April,14,25912,Slightly Delayed,31,21573406758,10.07,2023,Qtr 2,April,14,Traffic
2023,Qtr 2,April,15,126201,On Time,-12,16254967772,7.21,2023,Qtr 2,April,15,""
2023,Qtr 2,April,15,179161,On Time,6,13271121372,5.32,2023,Qtr 2,April,15,Traffic
2023,Qtr 2,April,15,209612,Slightly Delayed,33,21213269410,10.86,2023,Qtr 2,April,15,Traffic
2023,Qtr 2,April,16,289150,On Time,-15,37907561056,18.8,2023,Qtr 2,April,16,""
2023,Qtr 2,April,16,68619,On Time,3,12821239590,8.8,2023,Qtr 2,April,16,Traffic
2023,Qtr 2,April,16,8691,Significantly Delayed,28,5710643134,1.71,2023,Qtr 2,April,16,Traffic
2023,Qtr 2,April,16,171048,Slightly Delayed,28,16095945456,8.49,2023,Qtr 2,April,16,Traffic
2023,Qtr 2,April,17,108434,On Time,-4,11864130750,3.43,2023,Qtr 2,April,17,""
2023,Qtr 2,April,17,162074,On Time,7,10198273313,8.84,2023,Qtr 2,April,17,Traffic
2023,Qtr 2,April,17,165606,Slightly Delayed,40,19417326122,7.05,2023,Qtr 2,April,17,Traffic
2023,Qtr 2,April,18,81755,On Time,-5,16828617989,7.39,2023,Qtr 2,April,18,""
2023,Qtr 2,April,18,63631,On Time,4,3334055527,0.72,2023,Qtr 2,April,18,Traffic
2023,Qtr 2,April,19,243442,On Time,-12,16389731479,12.48,2023,Qtr 2,April,19,""
2023,Qtr 2,April,19,71891,On Time,5,6687307827,3.74,2023,Qtr 2,April,19,Traffic
2023,Qtr 2,April,19,74218,Significantly Delayed,54,12797364871,8.21,2023,Qtr 2,April,19,Traffic
2023,Qtr 2,April,19,82696,Slightly Delayed,10,3860678807,4.14,2023,Qtr 2,April,19,Traffic
2023,Qtr 2,April,20,13097,Slightly Delayed,12,2895464675,4.48,2023,Qtr 2,April,20,Traffic
2023,Qtr 2,April,21,86019,On Time,-6,18256385555,7.42,2023,Qtr 2,April,21,""
2023,Qtr 2,April,21,360915,On Time,17,32766714563,13.91,2023,Qtr 2,April,21,Traffic
2023,Qtr 2,April,21,180157,Significantly Delayed,68,14296584817,7.41,2023,Qtr 2,April,21,Traffic
2023,Qtr 2,April,21,69668,Slightly Delayed,19,5667355970,6.51,2023,Qtr 2,April,21,Traffic
2023,Qtr 2,April,22,87681,On Time,0,2366866840,4.8,2023,Qtr 2,April,22,""
2023,Qtr 2,April,22,72751,On Time,8,9197638622,4.59,2023,Qtr 2,April,22,Traffic
2023,Qtr 2,April,22,97807,Significantly Delayed,16,2051599638,1.59,2023,Qtr 2,April,22,Traffic
2023,Qtr 2,April,23,74511,On Time,-2,7572826287,0.87,2023,Qtr 2,April,23,""
2023,Qtr 2,April,23,119223,On Time,8,13660373926,2.37,2023,Qtr 2,April,23,Traffic
2023,Qtr 2,April,23,23178,Significantly Delayed,23,2592923105,4.84,2023,Qtr 2,April,23,Traffic
2023,Qtr 2,April,23,120358,Slightly Delayed,36,15716287565,7.34,2023,Qtr 2,April,23,Traffic
2023,Qtr 2,April,24,8041,On Time,-1,3717703595,2.48,2023,Qtr 2,April,24,""
2023,Qtr 2,April,24,155380,On Time,12,15187183133,13.82,2023,Qtr 2,April,24,Traffic
2023,Qtr 2,April,24,53869,Significantly Delayed,21,1160646195,1.48,2023,Qtr 2,April,24,Traffic
2023,Qtr 2,April,24,216315,Slightly Delayed,32,10793653890,10.74,2023,Qtr 2,April,24,Traffic
2023,Qtr 2,April,25,444858,On Time,-26,39095420811,14.47,2023,Qtr 2,April,25,""
2023,Qtr 2,April,25,309681,On Time,7,17624813028,7.93,2023,Qtr 2,April,25,Traffic
2023,Qtr 2,April,25,69404,Slightly Delayed,16,13512658270,3.63,2023,Qtr 2,April,25,Traffic
2023,Qtr 2,April,26,171468,On Time,-9,24771590735,6.52,2023,Qtr 2,April,26,""
2023,Qtr 2,April,26,93961,On Time,8,9015745103,8.09,2023,Qtr 2,April,26,Traffic
2023,Qtr 2,April,26,39978,Significantly Delayed,29,8487733248,1.34,2023,Qtr 2,April,26,Traffic
2023,Qtr 2,April,26,102,Slightly Delayed,8,8195544338,1.16,2023,Qtr 2,April,26,Traffic
2023,Qtr 2,April,27,74253,On Time,-4,4948925080,3.58,2023,Qtr 2,April,27,""
2023,Qtr 2,April,27,169210,On Time,13,17230352096,7.62,2023,Qtr 2,April,27,Traffic
2023,Qtr 2,April,27,81011,Significantly Delayed,19,2770948451,0.91,2023,Qtr 2,April,27,Traffic
2023,Qtr 2,April,28,99899,On Time,4,2570640420,2.92,2023,Qtr 2,April,28,Traffic
2023,Qtr 2,April,28,135092,Slightly Delayed,37,26911396612,15.08,2023,Qtr 2,April,28,Traffic
2023,Qtr 2,April,29,52286,On Time,-7,16190543524,4.81,2023,Qtr 2,April,29,""
2023,Qtr 2,April,29,58543,On Time,1,5890338566,1.74,2023,Qtr 2,April,29,Traffic
2023,Qtr 2,April,30,32545,On Time,-7,12952185169,2.16,2023,Qtr 2,April,30,""
2023,Qtr 2,April,30,226102,On Time,14,29837458608,9.19,2023,Qtr 2,April,30,Traffic
2023,Qtr 2,April,30,246734,Slightly Delayed,53,23395411689,13.41,2023,Qtr 2,April,30,Traffic
2023,Qtr 2,May,1,96569,On Time,-4,2255745327,0.6,2023,Qtr 2,May,1,""
2023,Qtr 2,May,1,193112,On Time,15,27100926248,12.81,2023,Qtr 2,May,1,Traffic
2023,Qtr 2,May,1,13676,Significantly Delayed,29,2148242015,4.21,2023,Qtr 2,May,1,Traffic
2023,Qtr 2,May,1,90470,Slightly Delayed,11,4285804383,2.97,2023,Qtr 2,May,1,Traffic
2023,Qtr 2,May,2,135670,On Time,-10,18659810716,2.6,2023,Qtr 2,May,2,""
2023,Qtr 2,May,2,267,On Time,2,939966106,2.05,2023,Qtr 2,May,2,Traffic
2023,Qtr 2,May,2,28575,Significantly Delayed,22,9073572548,4.77,2023,Qtr 2,May,2,Traffic
2023,Qtr 2,May,2,30929,Slightly Delayed,12,4495977117,3.96,2023,Qtr 2,May,2,Traffic
2023,Qtr 2,May,3,77924,On Time,-5,18058377695,9.53,2023,Qtr 2,May,3,""
2023,Qtr 2,May,3,117647,On Time,8,8750180643,10.23,2023,Qtr 2,May,3,Traffic
2023,Qtr 2,May,3,32112,Significantly Delayed,50,5701729292,3.36,2023,Qtr 2,May,3,Traffic
2023,Qtr 2,May,3,111801,Slightly Delayed,17,8880806930,7.08,2023,Qtr 2,May,3,Traffic
2023,Qtr 2,May,4,232131,On Time,-11,23409901023,8.79,2023,Qtr 2,May,4,""
2023,Qtr 2,May,4,11907,On Time,3,5360089735,4.41,2023,Qtr 2,May,4,Traffic
2023,Qtr 2,May,4,76806,Significantly Delayed,16,1685382357,1.64,2023,Qtr 2,May,4,Traffic
2023,Qtr 2,May,4,103681,Slightly Delayed,30,13842151861,4.01,2023,Qtr 2,May,4,Traffic
2023,Qtr 2,May,5,312058,On Time,-15,20243659222,12.16,2023,Qtr 2,May,5,""
2023,Qtr 2,May,5,455304,On Time,21,26209639389,23.02,2023,Qtr 2,May,5,Traffic
2023,Qtr 2,May,5,335686,Slightly Delayed,44,22440640558,12.64,2023,Qtr 2,May,5,Traffic
2023,Qtr 2,May,6,361621,On Time,-14,19389147945,13.57,2023,Qtr 2,May,6,""
2023,Qtr 2,May,6,256745,On Time,17,21900676587,15.01,2023,Qtr 2,May,6,Traffic
2023,Qtr 2,May,6,46256,Slightly Delayed,22,11688308304,2.66,2023,Qtr 2,May,6,Traffic
2023,Qtr 2,May,7,79994,On Time,0,9510912773,2.71,2023,Qtr 2,May,7,""
2023,Qtr 2,May,7,84708,On Time,8,10754057120,4.86,2023,Qtr 2,May,7,Traffic
2023,Qtr 2,May,7,140051,Significantly Delayed,45,9675830679,6.7,2023,Qtr 2,May,7,Traffic
2023,Qtr 2,May,7,58436,Slightly Delayed,16,10621702859,3.54,2023,Qtr 2,May,7,Traffic
2023,Qtr 2,May,8,319824,On Time,-18,29282698841,12.74,2023,Qtr 2,May,8,""
2023,Qtr 2,May,8,204529,On Time,14,14631453760,12.81,2023,Qtr 2,May,8,Traffic
2023,Qtr 2,May,8,113932,Significantly Delayed,49,16052134407,5.81,2023,Qtr 2,May,8,Traffic
2023,Qtr 2,May,8,175750,Slightly Delayed,37,18099655646,7.39,2023,Qtr 2,May,8,Traffic
2023,Qtr 2,May,9,231963,On Time,-7,24756486706,10.08,2023,Qtr 2,May,9,""
2023,Qtr 2,May,9,106771,On Time,10,11018352641,4.14,2023,Qtr 2,May,9,Traffic
2023,Qtr 2,May,9,87453,Significantly Delayed,26,1966054573,1.59,2023,Qtr 2,May,9,Traffic
2023,Qtr 2,May,9,180645,Slightly Delayed,14,10826915566,6.38,2023,Qtr 2,May,9,Traffic
2023,Qtr 2,May,10,227015,On Time,-14,30596195084,16.13,2023,Qtr 2,May,10,""
2023,Qtr 2,May,10,101331,On Time,10,10439275381,5.49,2023,Qtr 2,May,10,Traffic
2023,Qtr 2,May,10,4000,Significantly Delayed,21,1442559656,1.3,2023,Qtr 2,May,10,Traffic
2023,Qtr 2,May,10,41338,Slightly Delayed,15,3626990751,4.28,2023,Qtr 2,May,10,Traffic
2023,Qtr 2,May,11,73436,On Time,-3,1328085383,3.29,2023,Qtr 2,May,11,""
2023,Qtr 2,May,11,148447,On Time,13,20019705465,6.83,2023,Qtr 2,May,11,Traffic
2023,Qtr 2,May,12,343987,On Time,-11,37971322858,19.64,2023,Qtr 2,May,12,""
2023,Qtr 2,May,12,120403,On Time,12,14681974026,8.66,2023,Qtr 2,May,12,Traffic
2023,Qtr 2,May,12,30907,Slightly Delayed,7,5838302640,1.7,2023,Qtr 2,May,12,Traffic
2023,Qtr 2,May,13,362066,On Time,-14,31652622652,18.58,2023,Qtr 2,May,13,""
2023,Qtr 2,May,13,147921,On Time,12,15189438248,10.31,2023,Qtr 2,May,13,Traffic
2023,Qtr 2,May,13,91311,Slightly Delayed,20,12200989614,5.64,2023,Qtr 2,May,13,Traffic
2023,Qtr 2,May,14,49114,On Time,-3,1648146562,3.06,2023,Qtr 2,May,14,""
2023,Qtr 2,May,14,78556,On Time,9,20435412484,4.72,2023,Qtr 2,May,14,Traffic
2023,Qtr 2,May,14,256712,Slightly Delayed,36,14316739986,13.36,2023,Qtr 2,May,14,Traffic
2023,Qtr 2,May,15,272964,On Time,19,23659560899,18.97,2023,Qtr 2,May,15,Traffic
2023,Qtr 2,May,15,7632,Significantly Delayed,19,2686950796,4.05,2023,Qtr 2,May,15,Traffic
2023,Qtr 2,May,16,75303,On Time,-10,28322501539,10.24,2023,Qtr 2,May,16,""
2023,Qtr 2,May,16,98250,On Time,4,7468289864,5.97,2023,Qtr 2,May,16,Traffic
2023,Qtr 2,May,16,123731,Slightly Delayed,43,24953457673,5.71,2023,Qtr 2,May,16,Traffic
2023,Qtr 2,May,17,230454,On Time,-11,33392382899,11.74,2023,Qtr 2,May,17,""
2023,Qtr 2,May,17,90247,On Time,7,18039590491,8.22,2023,Qtr 2,May,17,Traffic
2023,Qtr 2,May,17,85617,Significantly Delayed,29,9921425481,1.61,2023,Qtr 2,May,17,Traffic
2023,Qtr 2,May,17,399043,Slightly Delayed,64,38791555754,20.21,2023,Qtr 2,May,17,Traffic
2023,Qtr 2,May,18,168089,On Time,-3,15228751881,11.23,2023,Qtr 2,May,18,""
2023,Qtr 2,May,18,14539,On Time,5,1668797251,0.7,2023,Qtr 2,May,18,Traffic
2023,Qtr 2,May,18,52905,Significantly Delayed,16,9126871366,1.36,2023,Qtr 2,May,18,Traffic
2023,Qtr 2,May,18,98703,Slightly Delayed,25,11791104599,3.67,2023,Qtr 2,May,18,Traffic
2023,Qtr 2,May,19,297024,On Time,-18,35177020165,16.11,2023,Qtr 2,May,19,""
2023,Qtr 2,May,19,256551,On Time,15,29715031478,14.26,2023,Qtr 2,May,19,Traffic
2023,Qtr 2,May,19,18328,Significantly Delayed,25,6457122136,1.9,2023,Qtr 2,May,19,Traffic
2023,Qtr 2,May,19,79097,Slightly Delayed,24,13706832697,4.11,2023,Qtr 2,May,19,Traffic
2023,Qtr 2,May,20,264086,On Time,-15,17846711431,11.94,2023,Qtr 2,May,20,""
2023,Qtr 2,May,20,146729,On Time,9,19434624043,9.67,2023,Qtr 2,May,20,Traffic
2023,Qtr 2,May,20,40650,Slightly Delayed,14,8370213291,3.94,2023,Qtr 2,May,20,Traffic
2023,Qtr 2,May,21,114249,On Time,-3,16070259821,8.33,2023,Qtr 2,May,21,""
2023,Qtr 2,May,21,37442,On Time,3,1824533423,2.97,2023,Qtr 2,May,21,Traffic
2023,Qtr 2,May,22,129474,On Time,-6,16873180970,8.82,2023,Qtr 2,May,22,""
2023,Qtr 2,May,22,83225,On Time,2,7944056454,4.19,2023,Qtr 2,May,22,Traffic
2023,Qtr 2,May,22,33226,Significantly Delayed,28,5368349643,4.54,2023,Qtr 2,May,22,Traffic
2023,Qtr 2,May,22,54692,Slightly Delayed,17,1388732519,6.86,2023,Qtr 2,May,22,Traffic
2023,Qtr 2,May,23,139384,On Time,-4,22866232612,9.76,2023,Qtr 2,May,23,""
2023,Qtr 2,May,23,112778,On Time,7,13654316676,3.37,2023,Qtr 2,May,23,Traffic
2023,Qtr 2,May,23,48477,Significantly Delayed,40,6714095458,7.35,2023,Qtr 2,May,23,Traffic
2023,Qtr 2,May,23,245556,Slightly Delayed,59,33601452164,15.6,2023,Qtr 2,May,23,Traffic
2023,Qtr 2,May,24,210772,On Time,-11,19626848036,8.41,2023,Qtr 2,May,24,""
2023,Qtr 2,May,24,62504,On Time,3,2483843748,0.78,2023,Qtr 2,May,24,Traffic
2023,Qtr 2,May,24,124630,Significantly Delayed,47,7191751414,6.91,2023,Qtr 2,May,24,Traffic
2023,Qtr 2,May,24,130716,Slightly Delayed,36,10182951471,5.66,2023,Qtr 2,May,24,Traffic
2023,Qtr 2,May,25,32519,On Time,-6,2336113689,2.65,2023,Qtr 2,May,25,""
2023,Qtr 2,May,25,146711,On Time,4,13349149725,1.59,2023,Qtr 2,May,25,Traffic
2023,Qtr 2,May,25,134208,Slightly Delayed,37,22153217782,8.29,2023,Qtr 2,May,25,Traffic
2023,Qtr 2,May,26,246492,On Time,-6,25717010453,9.6,2023,Qtr 2,May,26,""
2023,Qtr 2,May,26,87496,On Time,4,5421697986,4.2,2023,Qtr 2,May,26,Traffic
2023,Qtr 2,May,27,155543,On Time,-1,15118564846,7.78,2023,Qtr 2,May,27,""
2023,Qtr 2,May,27,253193,On Time,13,29025935797,16.14,2023,Qtr 2,May,27,Traffic
2023,Qtr 2,May,27,53744,Significantly Delayed,25,3343789681,3.43,2023,Qtr 2,May,27,Traffic
2023,Qtr 2,May,27,23782,Slightly Delayed,8,422403644,0.56,2023,Qtr 2,May,27,Traffic
2023,Qtr 2,May,28,122951,On Time,-9,17330350660,7.64,2023,Qtr 2,May,28,""
2023,Qtr 2,May,28,69432,Significantly Delayed,18,8220017366,2.59,2023,Qtr 2,May,28,Traffic
2023,Qtr 2,May,28,170668,Slightly Delayed,21,14465112054,7.26,2023,Qtr 2,May,28,Traffic
2023,Qtr 2,May,29,71938,On Time,-4,4366519080,4.15,2023,Qtr 2,May,29,""
2023,Qtr 2,May,29,150009,On Time,4,16710429542,4.96,2023,Qtr 2,May,29,Traffic
2023,Qtr 2,May,29,84226,Slightly Delayed,15,1525700767,4.55,2023,Qtr 2,May,29,Traffic
2023,Qtr 2,May,30,74629,On Time,-9,10653194318,3.94,2023,Qtr 2,May,30,""
2023,Qtr 2,May,30,99998,On Time,8,18895036743,5.26,2023,Qtr 2,May,30,Traffic
2023,Qtr 2,May,30,39168,Significantly Delayed,48,18485744014,6.5,2023,Qtr 2,May,30,Traffic
2023,Qtr 2,May,30,107674,Slightly Delayed,21,3267319846,7.54,2023,Qtr 2,May,30,Traffic
2023,Qtr 2,May,31,234167,On Time,-6,21436844442,8.79,2023,Qtr 2,May,31,""
2023,Qtr 2,May,31,29558,On Time,4,4922278509,0.58,2023,Qtr 2,May,31,Traffic
2023,Qtr 2,May,31,60888,Slightly Delayed,14,5273875984,0.98,2023,Qtr 2,May,31,Traffic
2023,Qtr 2,June,1,85863,On Time,-2,5868701666,5.9,2023,Qtr 2,June,1,""
2023,Qtr 2,June,1,225647,On Time,12,19187297686,14.04,2023,Qtr 2,June,1,Traffic
2023,Qtr 2,June,1,77052,Slightly Delayed,23,7162983331,3.43,2023,Qtr 2,June,1,Traffic
2023,Qtr 2,June,2,216766,On Time,-8,27875201370,15,2023,Qtr 2,June,2,""
2023,Qtr 2,June,2,212139,On Time,12,17231410951,7.86,2023,Qtr 2,June,2,Traffic
2023,Qtr 2,June,3,156639,On Time,-3,10765391165,6.72,2023,Qtr 2,June,3,""
2023,Qtr 2,June,4,3368,On Time,1,2024637181,3.78,2023,Qtr 2,June,4,Traffic
2023,Qtr 2,June,4,39491,Significantly Delayed,18,22830983,1.59,2023,Qtr 2,June,4,Traffic
2023,Qtr 2,June,5,181304,On Time,-12,15909141298,6.48,2023,Qtr 2,June,5,""
